param n := 8;

param m := 2;

param K := 50;

param a :=
1 	 0.487026
2 	 0.489886
3 	 0.175146
4 	 0.608941
5 	 0.242882
6 	 0.716797
7 	 0.474066
8 	 0.232388
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	:=
1	-0.078640	-0.705060	-0.057863	-0.094603	0.372695	-0.287437	-0.106756	0.453191	
2	-0.950785	0.873351	-0.195264	-0.641389	0.149841	0.726037	-0.921495	0.165138	
3	-0.805737	0.731470	0.793108	0.192605	-0.329986	0.238742	-0.899207	-0.641164	
4	-0.797090	-0.194961	0.946946	0.368207	0.353381	0.279884	-0.822993	0.468167	
5	-0.221558	-0.677412	0.557351	-0.125313	-0.914208	-0.790778	0.728653	0.190888	
6	0.431932	-0.290351	0.666687	-0.253310	0.097651	-0.524164	-0.727810	0.092370	
7	-0.894236	0.869665	-0.385821	0.408630	0.191199	0.438561	0.316523	0.454247	
8	-0.975024	0.287097	0.879035	-0.480518	-0.425561	0.398940	0.153932	-0.372106	

[2, *, *]:  1	2	3	4	5	6	7	8	:=
1	-0.858785	0.832196	-0.519514	0.823342	-0.645237	-0.960175	-0.236249	0.912085	
2	-0.823572	0.648760	0.123872	0.565288	0.290204	-0.760659	-0.430842	-0.387730	
3	-0.344545	0.346618	-0.838348	0.953657	0.894074	-0.111519	0.567343	-0.171848	
4	-0.536635	0.553281	0.122373	-0.114563	-0.181473	0.459569	-0.442193	0.593584	
5	0.496434	-0.699752	-0.099127	-0.717957	0.393744	-0.892619	-0.438365	-0.287631	
6	0.215278	-0.868975	-0.518895	-0.180064	-0.192054	-0.556664	0.870003	-0.790284	
7	-0.809137	0.495960	0.130758	0.584595	-0.300368	-0.937871	-0.671570	0.577802	
8	0.439707	0.969564	0.307987	-0.577927	-0.734062	0.666649	-0.924180	-0.740769	
;
