param n := 5;

param m := 10;

param K := 100;

param a :=
1 	 0.405820
2 	 0.004877
3 	 0.325331
4 	 0.838945
5 	 0.062824
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	-0.789161	0.207027	0.001968	0.237861	-0.977055	
2	0.403575	0.702938	0.459247	-0.453982	-0.666925	
3	0.028317	-0.446154	-0.482557	0.391697	0.115658	
4	-0.003666	0.689523	0.843274	-0.485571	0.424562	
5	-0.252781	-0.166762	0.404139	0.632905	-0.015039	

[2, *, *]:  1	2	3	4	5	:=
1	0.755619	0.330198	-0.429233	-0.405624	0.148150	
2	0.951740	-0.550250	0.171657	-0.966752	-0.362706	
3	-0.071446	-0.780917	-0.239858	-0.225263	-0.537471	
4	0.535974	0.958018	-0.647324	0.841826	0.912039	
5	-0.010456	0.629989	-0.162330	0.656401	0.129220	

[3, *, *]:  1	2	3	4	5	:=
1	-0.564789	-0.632076	0.035025	0.232521	-0.742537	
2	-0.501036	0.532450	-0.172804	0.969160	0.543854	
3	0.919192	0.417529	-0.765116	-0.621164	0.903552	
4	-0.522372	-0.124116	0.767822	0.930376	0.125561	
5	-0.786572	0.587609	-0.448814	0.305431	0.377110	

[4, *, *]:  1	2	3	4	5	:=
1	-0.947304	0.946505	-0.328570	0.753767	-0.161335	
2	0.978151	0.475177	0.763667	-0.360700	0.292061	
3	-0.363086	-0.994528	0.747339	-0.777646	0.210198	
4	-0.952192	-0.873279	0.975038	0.730728	-0.158154	
5	0.617128	0.168539	0.431664	-0.393055	-0.227699	

[5, *, *]:  1	2	3	4	5	:=
1	-0.754638	-0.856146	-0.043256	-0.972911	0.120802	
2	0.067724	0.978529	-0.294515	0.428591	0.195531	
3	-0.534292	0.560914	0.093023	-0.409372	-0.615849	
4	0.509616	-0.544348	0.319328	0.972805	-0.547497	
5	0.349741	-0.938514	0.594440	0.692483	-0.691974	

[6, *, *]:  1	2	3	4	5	:=
1	-0.244373	-0.311607	0.627739	-0.389477	0.572539	
2	-0.776089	-0.859304	-0.528868	-0.857287	-0.295689	
3	0.022546	0.051522	0.236364	0.917148	0.822870	
4	0.276956	0.300580	-0.394343	0.454331	-0.009005	
5	-0.755575	0.230944	-0.822465	-0.797078	0.745385	

[7, *, *]:  1	2	3	4	5	:=
1	-0.558940	0.319420	-0.359291	-0.246705	0.624231	
2	-0.265615	-0.066913	0.103476	0.174196	-0.793706	
3	-0.266326	0.758463	-0.623561	-0.889696	0.032632	
4	-0.805735	-0.460659	-0.653511	-0.718284	-0.688844	
5	-0.337971	-0.290361	0.878964	-0.807283	-0.442366	

[8, *, *]:  1	2	3	4	5	:=
1	0.765204	-0.168718	-0.522700	-0.686497	0.799062	
2	0.263188	-0.955116	0.116573	0.509034	0.761367	
3	0.927325	-0.372031	-0.210160	-0.340054	-0.113777	
4	0.199429	-0.036750	0.013164	0.288391	-0.590530	
5	-0.980961	0.150919	-0.608066	0.130911	0.264385	

[9, *, *]:  1	2	3	4	5	:=
1	0.273672	0.201931	0.833300	0.051196	0.075541	
2	0.384835	-0.574482	0.122198	0.631813	-0.986531	
3	0.814946	0.302731	-0.480332	0.194032	0.753372	
4	0.565162	0.629000	-0.332405	0.013861	0.122973	
5	0.250582	0.844645	0.995525	-0.302921	-0.951437	

[10, *, *]:  1	2	3	4	5	:=
1	0.636349	-0.812772	-0.064364	0.568584	-0.427504	
2	-0.729291	-0.868803	-0.145016	0.309598	-0.407647	
3	-0.938723	0.759871	-0.197863	0.124932	0.365506	
4	-0.075329	0.642744	0.164430	-0.175215	0.524882	
5	0.921313	0.639939	0.457941	-0.360170	0.195240	
;
