param n := 8;

param m := 2;

param K := 50;

param a :=
1 	 0.030616
2 	 0.303023
3 	 0.035078
4 	 0.590051
5 	 0.701621
6 	 0.669988
7 	 0.356210
8 	 0.111645
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	:=
1	0.282640	-0.604123	-0.488869	0.045647	0.598690	0.799986	0.110218	0.099060	
2	-0.873605	0.246726	-0.848373	0.346673	-0.308691	-0.972173	-0.545330	-0.264691	
3	0.288726	0.115081	0.645404	0.463061	-0.036216	-0.805998	-0.268607	0.287504	
4	0.670578	0.771436	-0.544095	0.961958	-0.843755	-0.879850	-0.660074	-0.671104	
5	-0.885682	0.394051	-0.240894	0.105514	0.820212	-0.518155	0.328545	0.448594	
6	-0.288261	-0.271474	0.692975	0.399449	0.118451	-0.006302	-0.836666	0.850499	
7	0.237439	-0.549305	-0.793699	0.365373	0.049972	-0.072952	-0.313423	0.979652	
8	0.277202	0.221818	0.938780	0.260466	-0.466096	-0.458908	0.062051	0.756965	

[2, *, *]:  1	2	3	4	5	6	7	8	:=
1	-0.478162	0.719260	-0.948690	0.870377	0.040467	-0.118658	0.392514	-0.357066	
2	-0.923813	0.385521	-0.548796	0.225625	-0.064711	-0.991497	-0.717725	0.076886	
3	0.948052	-0.228197	-0.815395	0.240722	-0.802752	0.404676	-0.538818	-0.842435	
4	0.114240	0.853456	0.490211	0.716013	-0.373484	0.585785	0.389575	-0.430968	
5	0.079420	0.708933	0.702111	-0.232525	-0.625228	-0.323021	-0.863269	-0.594268	
6	-0.707078	0.675772	0.080940	-0.871781	0.494850	-0.045328	0.458665	0.022696	
7	0.824984	0.168114	0.222542	0.480294	-0.679267	-0.902566	0.254916	0.304419	
8	0.915219	-0.860045	-0.053725	0.688379	0.369262	-0.546859	0.304132	0.230174	
;
