param n := 10;

param m := 2;

param K := 20;

param a :=
1 	 0.686201
2 	 0.142406
3 	 0.931496
4 	 0.058875
5 	 0.218100
6 	 0.077195
7 	 0.411512
8 	 0.597259
9 	 0.731142
10 	 0.878433
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	-0.293503	-0.493473	-0.008657	-0.656985	-0.680045	-0.751565	-0.509799	0.656761	-0.124755	-0.010350	
2	0.404925	0.675426	-0.986557	-0.478164	0.007411	0.110784	-0.745800	0.344000	0.179664	0.474305	
3	-0.902767	0.615512	-0.123850	0.353550	-0.762159	-0.675790	0.120489	-0.465377	0.697692	0.201043	
4	0.638524	-0.234865	-0.562622	0.006531	-0.778324	0.663534	-0.743240	-0.733470	0.176296	0.475999	
5	-0.363449	-0.138641	-0.573202	-0.685424	0.392592	-0.484610	-0.337685	-0.332075	-0.006044	-0.248478	
6	-0.556715	-0.634825	-0.501522	-0.834987	-0.456899	0.021133	-0.347120	-0.680360	0.671155	0.822213	
7	-0.277927	-0.366252	-0.743349	0.763788	0.932776	0.564908	0.896089	0.920800	0.595932	0.744617	
8	-0.771860	-0.165263	0.889627	-0.516218	0.678492	0.076678	-0.248171	-0.598125	0.962321	0.409331	
9	-0.412590	-0.867063	-0.661851	0.917947	-0.814960	0.057647	-0.061779	-0.378666	0.897212	-0.477543	
10	-0.982422	-0.324225	0.135225	0.784728	-0.218885	0.709680	0.894685	0.322840	0.834378	0.002139	

[2, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	-0.564588	-0.991121	-0.761296	0.558029	0.170232	0.114053	-0.486802	0.235311	0.613651	-0.631051	
2	-0.794960	-0.816761	-0.110533	0.737258	-0.679065	-0.227745	0.847849	0.279756	0.046314	0.025779	
3	0.155922	-0.948849	-0.707191	0.597495	0.406803	0.374133	0.321155	0.450230	-0.134938	-0.813087	
4	-0.040808	-0.383146	0.332145	-0.571826	-0.165092	0.361807	0.109021	0.820478	-0.866010	0.556884	
5	-0.505016	0.961286	-0.755261	0.360735	-0.066462	-0.636114	0.986641	0.136554	0.129226	-0.048091	
6	-0.106648	-0.079192	-0.826622	-0.990751	-0.390063	0.528302	0.691107	0.960538	-0.490345	0.921926	
7	-0.723214	-0.180509	0.406722	0.591597	0.738331	-0.669647	0.354386	-0.773604	-0.835336	-0.781959	
8	0.045605	-0.183562	-0.177483	-0.568335	-0.061160	-0.351785	-0.836539	-0.068642	0.467419	0.395919	
9	0.940744	0.649629	0.992222	0.973446	0.612315	0.740422	-0.271108	-0.796655	0.486886	0.607123	
10	0.647564	0.163410	0.068098	0.888292	0.613599	0.143336	0.004337	0.484900	-0.257840	0.453747	
;
