param n := 5;

param m := 5;

param K := 100;

param a :=
1 	 0.925704
2 	 0.405557
3 	 0.075033
4 	 0.861352
5 	 0.519298
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	-0.362128	0.177817	-0.610813	-0.969821	0.614381	
2	0.926065	0.685036	0.522670	-0.935611	-0.928038	
3	0.876524	-0.326558	-0.699803	-0.424948	-0.283210	
4	-0.479962	0.172859	-0.468186	-0.326754	0.276556	
5	-0.597216	-0.675510	0.378990	-0.275568	-0.713992	

[2, *, *]:  1	2	3	4	5	:=
1	0.715477	-0.193187	-0.914741	0.306502	-0.075051	
2	0.291129	-0.031060	-0.801119	-0.651358	0.739228	
3	-0.769413	0.774910	-0.553523	-0.666556	0.320824	
4	-0.583805	-0.725113	0.613170	0.041697	-0.501820	
5	0.490997	0.928746	-0.088254	0.480587	-0.530196	

[3, *, *]:  1	2	3	4	5	:=
1	-0.251907	-0.175442	0.424490	-0.027151	-0.688943	
2	0.513232	0.223088	-0.823730	0.398293	-0.364365	
3	0.875875	0.093669	0.732155	-0.210026	-0.312034	
4	0.723812	-0.221450	0.726897	0.594992	-0.271659	
5	-0.476778	-0.797158	0.416902	0.572834	0.133291	

[4, *, *]:  1	2	3	4	5	:=
1	-0.916625	-0.302546	0.191734	-0.693158	0.918224	
2	0.319939	-0.233439	-0.709000	0.104278	0.106688	
3	-0.596736	-0.639388	-0.538117	0.136279	0.305462	
4	-0.167075	-0.863740	-0.427246	-0.313160	-0.018520	
5	-0.098215	0.102513	0.661503	-0.298766	0.293300	

[5, *, *]:  1	2	3	4	5	:=
1	0.210502	-0.273853	-0.183637	0.504513	0.834520	
2	-0.709653	-0.543717	0.366128	0.235509	-0.698521	
3	-0.330639	0.695005	-0.868756	0.758397	-0.512472	
4	-0.079132	-0.317052	-0.638542	-0.662400	0.093369	
5	-0.744357	-0.546421	0.388614	0.407095	-0.311761	
;
