param n := 5;

param m := 5;

param K := 100;

param a :=
1 	 0.846055
2 	 0.927581
3 	 0.660458
4 	 0.578174
5 	 0.398716
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.933225	0.364133	0.384829	0.106867	0.789879	
2	-0.691842	-0.527061	-0.762053	-0.830396	-0.341708	
3	0.790174	-0.664527	0.801484	-0.595074	0.056003	
4	-0.377974	0.016964	-0.040525	0.708476	0.300796	
5	0.096978	0.583728	0.893353	0.411855	0.188582	

[2, *, *]:  1	2	3	4	5	:=
1	-0.537074	-0.866858	0.302015	0.227100	-0.576557	
2	-0.146357	0.427856	-0.257706	-0.571064	0.660313	
3	-0.503777	-0.339769	-0.410358	0.878838	-0.519810	
4	0.691230	0.250871	0.823526	0.500907	0.263241	
5	0.973355	-0.483741	0.884998	0.502180	0.421479	

[3, *, *]:  1	2	3	4	5	:=
1	0.484767	-0.819181	0.556602	0.210844	0.597946	
2	-0.219471	-0.742048	-0.921177	0.952477	0.621258	
3	0.519651	-0.789475	-0.516883	-0.913097	0.719997	
4	0.805872	-0.654545	0.758133	0.897146	-0.082898	
5	0.174840	-0.747138	0.947038	-0.377408	0.861289	

[4, *, *]:  1	2	3	4	5	:=
1	-0.484214	0.450333	-0.501076	0.553968	0.972494	
2	0.868891	0.131108	-0.561464	0.067298	-0.943515	
3	0.238239	-0.015152	0.599322	0.478776	0.865528	
4	0.970890	-0.481564	0.004790	0.030787	0.861710	
5	-0.934712	-0.346339	-0.833620	-0.200108	-0.218163	

[5, *, *]:  1	2	3	4	5	:=
1	-0.571070	-0.418388	-0.294935	0.979414	-0.897778	
2	0.238427	0.831832	0.995769	-0.070225	0.840091	
3	-0.644055	0.805834	-0.132621	0.469170	0.853682	
4	0.606416	0.070762	-0.410376	0.281615	0.103990	
5	-0.492132	0.725678	-0.916852	0.446187	0.927832	
;
