param n := 10;

param m := 2;

param K := 20;

param a :=
1 	 0.837646
2 	 0.005693
3 	 0.242571
4 	 0.221507
5 	 0.561546
6 	 0.717612
7 	 0.252495
8 	 0.506021
9 	 0.739270
10 	 0.722302
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	-0.063375	-0.250536	-0.093868	0.259744	-0.262795	-0.572432	-0.308694	-0.737316	-0.645938	-0.524383	
2	0.412387	0.807109	0.966405	-0.666458	0.305460	0.282210	0.810925	-0.264653	-0.196487	0.661939	
3	0.118133	0.354361	0.683735	-0.251408	0.166832	0.462269	-0.093034	-0.682380	-0.994117	0.287251	
4	-0.843178	-0.774741	-0.973590	0.164975	-0.291660	-0.809876	-0.034940	-0.384873	-0.198806	-0.046863	
5	0.905607	0.339127	0.737789	0.621563	-0.031389	-0.859854	0.958293	0.375958	0.786405	0.417613	
6	0.951308	-0.564018	-0.433171	-0.263109	0.328643	0.771910	-0.176622	0.676880	-0.885073	-0.801233	
7	-0.675972	-0.827811	-0.604724	0.678765	-0.887321	-0.277351	-0.261107	-0.390355	-0.220741	0.513956	
8	-0.164346	-0.280136	-0.380734	-0.166382	0.212805	0.406864	-0.840074	-0.293805	-0.469312	-0.402816	
9	0.239181	-0.900785	0.058468	0.884976	0.493566	0.120296	-0.224435	0.461283	-0.926447	0.005547	
10	0.136240	-0.706767	-0.034629	-0.407275	0.587941	-0.324507	-0.644137	0.555665	-0.198993	-0.811645	

[2, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	0.629111	0.355828	-0.845465	0.796053	-0.511067	0.443481	0.340681	0.724062	-0.936205	-0.182640	
2	0.020934	-0.327800	-0.208195	-0.758331	0.346725	0.807436	0.490132	0.793126	0.905620	0.103537	
3	-0.116058	0.500251	-0.628467	0.019228	-0.823740	-0.125703	-0.155576	0.915218	0.113664	-0.283073	
4	-0.730217	0.113957	0.888387	0.991044	-0.962296	-0.780967	-0.692164	0.255017	0.105420	0.998751	
5	0.269751	0.716481	0.559367	-0.037141	-0.055308	-0.924786	-0.431835	0.997961	-0.905244	-0.099352	
6	-0.295380	0.141164	0.487331	0.675626	0.877990	0.761538	0.096954	0.581015	0.278077	-0.308353	
7	0.365418	0.778798	-0.016004	0.207311	-0.348850	0.304511	-0.488528	-0.458352	0.000207	-0.620549	
8	0.524914	-0.545043	-0.019903	0.328750	-0.355694	0.830994	0.783470	0.981101	0.608590	0.847055	
9	-0.986504	0.587960	0.162221	-0.455077	-0.895939	0.761194	0.161501	0.603011	-0.860901	-0.791412	
10	-0.481881	-0.932107	0.193253	0.661866	0.350571	-0.059519	0.437347	-0.493770	0.125862	-0.119313	
;
