param n := 5;

param m := 10;

param K := 100;

param a :=
1 	 0.363431
2 	 0.353044
3 	 0.865624
4 	 0.888700
5 	 0.963052
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	-0.343602	-0.571796	0.052636	0.924345	0.789732	
2	0.386640	0.495428	-0.114168	0.958251	0.422622	
3	0.266133	-0.710672	0.556361	-0.444744	0.516265	
4	-0.515113	-0.786361	-0.282513	-0.169986	0.766807	
5	0.739975	0.440644	0.706699	0.450020	-0.266104	

[2, *, *]:  1	2	3	4	5	:=
1	0.085090	0.939877	0.237001	-0.184374	-0.657235	
2	0.069540	0.464271	0.419857	-0.698460	0.751599	
3	0.295165	-0.169417	0.322584	0.652667	0.278128	
4	0.790368	0.162277	-0.327707	0.420921	0.993206	
5	0.201655	0.844642	-0.593330	-0.197888	-0.797804	

[3, *, *]:  1	2	3	4	5	:=
1	-0.510303	-0.017041	-0.572992	0.804598	-0.081767	
2	-0.832690	0.052339	0.790637	0.023895	0.146904	
3	0.489484	-0.914959	0.776027	0.312348	0.148119	
4	-0.680849	0.228107	-0.989470	0.535571	0.684261	
5	0.763319	-0.544770	0.664608	0.370880	-0.519117	

[4, *, *]:  1	2	3	4	5	:=
1	0.514453	-0.164968	0.950151	0.532796	0.729101	
2	0.624674	0.235773	0.129469	-0.615977	0.086964	
3	0.594065	0.510491	-0.068522	0.183255	-0.014541	
4	0.615416	0.539531	0.671051	0.213663	-0.163749	
5	0.658560	0.917209	-0.560078	-0.116312	-0.875550	

[5, *, *]:  1	2	3	4	5	:=
1	-0.275701	0.265071	-0.950346	0.529096	-0.668266	
2	-0.814369	-0.625878	-0.402508	-0.413502	0.512941	
3	0.131277	0.500488	0.380030	0.244138	0.737178	
4	0.281003	0.097719	0.865577	-0.537808	0.039013	
5	0.535565	-0.795659	0.932994	0.501381	-0.868730	

[6, *, *]:  1	2	3	4	5	:=
1	-0.102216	0.126081	0.579813	-0.069697	0.951084	
2	0.675657	-0.915879	0.805269	-0.817064	0.527440	
3	-0.640495	0.969771	-0.878499	-0.863828	-0.998518	
4	-0.922882	0.138665	-0.302974	-0.398221	0.470431	
5	0.465387	0.170313	-0.599816	0.808691	-0.956015	

[7, *, *]:  1	2	3	4	5	:=
1	-0.662869	-0.257845	-0.256157	0.600289	-0.452645	
2	-0.978972	0.462382	-0.192233	0.822617	0.773296	
3	-0.701746	0.694608	-0.447192	0.026298	-0.508111	
4	0.375011	-0.739285	0.508336	-0.141156	0.242379	
5	0.404034	-0.825185	-0.356428	-0.816810	-0.009985	

[8, *, *]:  1	2	3	4	5	:=
1	-0.811255	0.418748	-0.282308	-0.239988	0.279713	
2	0.798737	-0.348183	0.307503	-0.241196	-0.576457	
3	-0.864458	-0.853120	0.133183	0.692712	0.056601	
4	0.361405	0.159474	-0.931787	-0.031444	0.337137	
5	0.943996	0.467034	0.841389	-0.097862	0.077553	

[9, *, *]:  1	2	3	4	5	:=
1	0.417522	-0.482812	-0.689761	0.773877	-0.607256	
2	0.197073	-0.890688	0.541537	-0.924789	0.425585	
3	0.682811	-0.542216	-0.111350	0.386189	-0.792198	
4	0.758342	0.441833	-0.419759	0.337101	-0.886747	
5	-0.804322	-0.842910	0.287969	0.736024	0.361592	

[10, *, *]:  1	2	3	4	5	:=
1	-0.954731	0.984398	-0.371488	-0.882717	0.847224	
2	-0.911402	-0.546785	-0.734150	-0.986886	-0.166631	
3	-0.926094	0.584760	0.593403	-0.367953	-0.424232	
4	-0.069179	0.590492	0.134927	-0.457082	0.690493	
5	0.515739	0.744485	-0.170692	-0.048553	-0.386100	
;
