param n := 5;

param m := 10;

param K := 100;

param a :=
1 	 0.129251
2 	 0.886020
3 	 0.152862
4 	 0.360516
5 	 0.361162
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	-0.440429	0.166438	0.615382	-0.744524	-0.753010	
2	-0.290392	-0.731501	-0.473205	0.787119	-0.447127	
3	0.086003	-0.514024	-0.178798	0.362790	-0.901913	
4	-0.842966	-0.374442	-0.189174	-0.466217	-0.709706	
5	-0.254261	-0.850932	-0.390529	-0.815138	-0.049941	

[2, *, *]:  1	2	3	4	5	:=
1	0.871959	-0.643578	0.957566	-0.886976	-0.489587	
2	-0.131862	0.478210	0.720743	0.584924	-0.404833	
3	0.418281	-0.299187	0.195473	-0.852098	0.129213	
4	0.140610	0.982424	-0.945104	0.572919	0.124122	
5	0.952488	-0.294377	-0.628936	-0.944096	0.774802	

[3, *, *]:  1	2	3	4	5	:=
1	0.274755	0.157258	0.185479	-0.241829	-0.939027	
2	-0.677076	-0.171790	-0.015311	0.093050	0.491599	
3	-0.946010	0.179630	-0.881793	0.865749	0.594013	
4	0.523965	-0.188737	0.953579	-0.204069	-0.612330	
5	0.071138	-0.108615	0.710275	0.889545	-0.674266	

[4, *, *]:  1	2	3	4	5	:=
1	0.182157	-0.860655	-0.402674	0.124196	-0.858248	
2	-0.040617	-0.784007	0.736995	-0.329787	-0.149898	
3	0.173085	0.432755	0.090078	-0.495350	-0.787166	
4	-0.735458	-0.947196	0.995095	-0.145261	0.446242	
5	-0.444526	0.079301	0.122152	-0.545649	-0.403212	

[5, *, *]:  1	2	3	4	5	:=
1	-0.019277	-0.984383	0.705478	-0.691459	-0.929019	
2	-0.608833	-0.498191	-0.256519	-0.774641	0.964865	
3	0.361653	0.255273	-0.269331	-0.893324	0.316609	
4	0.661652	-0.378366	-0.966875	-0.641432	-0.226012	
5	-0.559186	0.672412	0.099357	-0.688138	-0.875029	

[6, *, *]:  1	2	3	4	5	:=
1	-0.905509	0.360389	-0.457948	0.020088	0.124655	
2	0.609905	-0.145532	0.006159	-0.716946	-0.089536	
3	-0.154440	-0.806383	-0.085041	-0.621261	0.884193	
4	-0.783480	-0.215981	0.537269	-0.180203	0.339990	
5	-0.665932	-0.910488	-0.679539	-0.708275	-0.793716	

[7, *, *]:  1	2	3	4	5	:=
1	0.214214	-0.280931	-0.442908	0.632256	0.076117	
2	-0.159342	-0.039240	0.144780	-0.691508	-0.328006	
3	0.001264	0.229566	-0.315421	-0.629613	-0.351091	
4	0.311611	-0.428886	0.678322	0.085190	-0.540294	
5	-0.628564	0.005547	0.371826	-0.877203	-0.990627	

[8, *, *]:  1	2	3	4	5	:=
1	0.374147	0.294935	-0.349564	-0.518036	0.090913	
2	0.505562	-0.954044	0.821268	-0.888849	-0.546001	
3	-0.323433	-0.432055	-0.041650	-0.125728	-0.907198	
4	-0.060393	0.908790	-0.595863	0.809166	-0.748384	
5	0.594765	0.766309	-0.457101	0.051515	-0.569749	

[9, *, *]:  1	2	3	4	5	:=
1	0.746787	0.072927	-0.933406	-0.742051	0.117704	
2	0.976657	0.233046	0.787955	-0.762358	-0.489547	
3	-0.964468	-0.208000	0.288822	-0.468902	0.035738	
4	-0.113380	-0.632272	-0.810911	0.525817	0.859502	
5	-0.261605	0.170548	0.102750	0.396442	-0.629362	

[10, *, *]:  1	2	3	4	5	:=
1	0.468415	0.030066	0.136253	0.037012	-0.219399	
2	0.744366	-0.739384	-0.478725	0.670832	-0.360871	
3	0.338912	0.651400	0.168940	0.289542	0.782441	
4	-0.592609	0.047289	-0.535755	-0.811619	0.782583	
5	-0.741668	-0.417153	-0.561896	-0.731863	-0.940352	
;
