param n := 5;

param m := 5;

param K := 100;

param a :=
1 	 0.690639
2 	 0.057568
3 	 0.160764
4 	 0.716238
5 	 0.970619
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.859101	0.085080	0.726223	0.941484	-0.421978	
2	0.802134	0.764972	-0.625150	-0.816492	0.026601	
3	-0.744513	0.063584	-0.890472	-0.452164	-0.303487	
4	-0.708142	0.563431	-0.157018	-0.789786	0.856456	
5	-0.855470	-0.623092	0.110209	-0.219121	0.579896	

[2, *, *]:  1	2	3	4	5	:=
1	0.722023	-0.969961	-0.807874	0.494561	-0.075832	
2	-0.740998	-0.788512	-0.762539	-0.483623	0.511802	
3	0.150140	-0.247886	-0.364110	-0.925519	0.457630	
4	-0.570435	-0.195812	0.901586	-0.967896	-0.295221	
5	0.736477	-0.445560	-0.585187	-0.694588	-0.041721	

[3, *, *]:  1	2	3	4	5	:=
1	0.628148	0.475615	0.006755	-0.445410	0.576958	
2	0.676806	-0.454735	0.054320	-0.302474	0.885197	
3	-0.360167	-0.037028	-0.423841	-0.432098	-0.005420	
4	-0.991470	-0.615937	0.023998	-0.828096	0.187508	
5	-0.906138	0.694226	-0.996073	0.043562	-0.418280	

[4, *, *]:  1	2	3	4	5	:=
1	-0.701681	-0.172879	0.230443	-0.162583	0.239891	
2	-0.736257	0.188289	0.402416	0.308939	-0.297363	
3	0.464722	-0.749436	0.974366	0.850522	-0.355267	
4	0.468939	0.570738	0.124789	0.328302	0.220410	
5	-0.641300	0.239984	0.728833	-0.393839	-0.679354	

[5, *, *]:  1	2	3	4	5	:=
1	-0.026522	0.681816	0.999752	0.324818	0.278106	
2	0.891269	0.685335	-0.760633	-0.023839	0.481654	
3	-0.232172	0.655606	-0.019821	-0.611420	0.125346	
4	-0.622075	-0.977049	0.580052	0.757260	0.257683	
5	-0.062322	-0.465919	-0.755572	-0.637025	-0.762069	
;
