param n := 5;

param m := 5;

param K := 100;

param a :=
1 	 0.551432
2 	 0.185289
3 	 0.442101
4 	 0.185318
5 	 0.947376
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	-0.012351	-0.713620	-0.014555	-0.519656	-0.538023	
2	0.927836	0.264660	-0.069732	0.372887	-0.884048	
3	0.289883	0.323777	0.613494	0.979767	-0.722367	
4	-0.031368	-0.132320	-0.486678	-0.645141	0.870306	
5	0.935390	-0.881286	-0.217139	0.642893	0.777084	

[2, *, *]:  1	2	3	4	5	:=
1	-0.421479	0.259706	0.348998	-0.510239	-0.823623	
2	0.895528	-0.683936	0.102938	-0.415372	0.367421	
3	0.699861	-0.970436	-0.356704	-0.608136	-0.759198	
4	-0.130690	-0.468976	0.560405	-0.824123	-0.978602	
5	-0.063901	-0.969113	-0.708429	0.739952	0.114536	

[3, *, *]:  1	2	3	4	5	:=
1	0.814218	0.611970	-0.092340	0.040627	-0.643010	
2	0.720913	0.736976	0.115651	0.656936	0.939741	
3	-0.323097	0.339293	0.012262	0.011559	0.483879	
4	-0.945682	0.615558	0.383968	0.649717	-0.480417	
5	0.601719	0.794997	0.365814	-0.436310	0.162471	

[4, *, *]:  1	2	3	4	5	:=
1	0.910525	0.530368	0.250242	-0.620825	-0.187423	
2	-0.838492	0.136305	-0.180537	0.791458	0.487498	
3	-0.832932	0.332376	-0.825495	0.899693	-0.424026	
4	0.238270	-0.784372	-0.257872	0.923145	-0.371166	
5	-0.551013	-0.831434	0.344289	0.460165	0.211793	

[5, *, *]:  1	2	3	4	5	:=
1	0.189694	-0.997934	0.712318	0.962821	-0.926050	
2	0.757322	-0.047822	-0.271269	0.219004	-0.376772	
3	-0.490798	0.314081	0.784548	-0.164735	-0.353042	
4	0.532377	0.686646	-0.944577	-0.661572	0.214884	
5	0.882027	-0.632521	-0.829220	0.299802	0.301663	
;
