param n := 5;

param m := 10;

param K := 100;

param a :=
1 	 0.707055
2 	 0.333008
3 	 0.669098
4 	 0.779551
5 	 0.086576
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.021313	-0.902892	-0.330053	0.159229	-0.305295	
2	-0.792651	0.733993	0.527550	-0.901805	-0.597645	
3	0.298923	-0.043681	0.706846	-0.094277	0.685576	
4	-0.369004	0.587106	-0.125752	-0.679200	0.635593	
5	0.287002	-0.546726	0.860665	0.465649	-0.312707	

[2, *, *]:  1	2	3	4	5	:=
1	-0.192754	0.646474	-0.630764	-0.627980	-0.791325	
2	-0.878800	0.002300	0.088802	0.529568	-0.281694	
3	-0.642231	0.535725	-0.597934	-0.858227	-0.772079	
4	0.471838	0.019836	0.112438	-0.261373	0.753082	
5	0.132261	0.136138	-0.717118	0.755756	-0.747526	

[3, *, *]:  1	2	3	4	5	:=
1	-0.490889	-0.253230	0.412471	0.657622	0.990529	
2	-0.156187	0.142049	-0.402129	-0.936669	-0.008741	
3	0.330512	0.981503	-0.300599	-0.709020	-0.231792	
4	-0.310589	-0.345670	0.989415	0.455457	-0.611252	
5	-0.572997	-0.275593	0.208535	0.079488	0.180333	

[4, *, *]:  1	2	3	4	5	:=
1	0.533250	-0.634105	-0.600659	0.800754	-0.525173	
2	0.848878	0.220677	0.617164	0.879458	-0.900971	
3	-0.724748	0.240539	-0.899321	0.816889	0.114528	
4	-0.983820	-0.180740	-0.656276	-0.117166	-0.373360	
5	-0.044079	0.354411	0.961205	0.877608	0.064155	

[5, *, *]:  1	2	3	4	5	:=
1	-0.056783	0.752160	-0.328524	-0.517901	0.400956	
2	-0.033735	0.467671	-0.999214	-0.258120	0.357709	
3	0.140155	-0.841578	-0.508390	-0.699153	0.784090	
4	0.846885	0.670775	0.375893	0.607000	0.766062	
5	-0.527615	-0.204712	0.702345	0.434047	0.250736	

[6, *, *]:  1	2	3	4	5	:=
1	-0.422443	0.816342	-0.999717	-0.021327	0.768769	
2	-0.193794	-0.395826	-0.245520	-0.026158	0.567439	
3	-0.942085	0.889653	-0.755349	0.140584	-0.354545	
4	0.832968	0.728062	0.865616	0.089015	0.568875	
5	0.374895	0.772026	0.027415	0.834222	-0.709629	

[7, *, *]:  1	2	3	4	5	:=
1	0.720452	-0.546737	-0.435299	0.357511	0.228150	
2	0.545999	0.617356	0.035511	0.528404	-0.701298	
3	0.551934	0.931858	-0.343675	-0.935547	0.041593	
4	0.057397	0.087064	0.983602	0.964542	-0.813310	
5	-0.099629	0.804415	-0.499367	-0.817355	0.562401	

[8, *, *]:  1	2	3	4	5	:=
1	0.545862	0.944061	-0.484273	0.203685	0.345912	
2	0.196298	-0.490800	-0.405894	0.076520	0.068336	
3	-0.970913	0.502018	-0.982111	-0.912325	-0.889855	
4	-0.915952	-0.437530	0.974352	-0.056959	0.240198	
5	-0.638059	-0.488963	0.132921	0.079353	0.162350	

[9, *, *]:  1	2	3	4	5	:=
1	0.091193	-0.495241	-0.541325	0.494995	0.310763	
2	0.686563	0.700709	-0.481610	-0.718988	-0.332849	
3	-0.105226	-0.967551	0.401581	-0.235005	-0.956784	
4	0.207131	-0.687498	0.933051	-0.353421	-0.261983	
5	-0.752774	0.646770	-0.603440	0.767571	0.944361	

[10, *, *]:  1	2	3	4	5	:=
1	0.058198	0.673919	0.597502	-0.731259	0.613330	
2	0.484290	-0.280382	-0.969475	0.345107	-0.510719	
3	-0.309222	-0.925824	0.171246	-0.810109	0.692601	
4	-0.078820	0.377978	-0.008967	-0.676463	-0.928799	
5	-0.576729	-0.688422	0.994923	0.976663	0.071214	
;
