param n := 5;

param m := 2;

param K := 100;

param a :=
1 	 0.235815
2 	 0.940828
3 	 0.684218
4 	 0.064912
5 	 0.870425
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.402761	0.629238	0.062576	-0.871139	-0.026499	
2	0.209854	-0.891773	-0.503419	0.793970	0.196929	
3	0.464750	-0.738979	-0.409843	-0.593238	0.054535	
4	-0.493122	0.684892	0.745372	0.652455	0.249643	
5	0.200978	0.236692	-0.156668	0.763541	0.710083	

[2, *, *]:  1	2	3	4	5	:=
1	-0.435721	0.191965	0.204367	0.231409	-0.614888	
2	0.767511	-0.521108	0.927134	-0.881646	0.505852	
3	0.135381	-0.737169	-0.308642	0.500634	-0.985362	
4	-0.769794	-0.676305	0.191250	0.896419	-0.343488	
5	-0.545998	0.689745	0.197971	0.069358	0.835213	
;
