param n := 8;

param m := 2;

param K := 50;

param a :=
1 	 0.007191
2 	 0.428851
3 	 0.533743
4 	 0.690707
5 	 0.903174
6 	 0.068561
7 	 0.283099
8 	 0.527932
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	:=
1	-0.419530	0.117869	-0.599938	-0.757333	-0.643406	0.587840	-0.099076	-0.045855	
2	-0.159737	-0.416826	0.157392	0.872947	0.436882	-0.338844	-0.384080	-0.878104	
3	0.964106	-0.656399	0.915759	-0.212322	0.081153	0.023122	0.824919	-0.496229	
4	-0.886133	0.239481	0.384848	0.458525	-0.571812	0.670050	-0.560286	0.590005	
5	0.857826	0.976955	-0.945326	0.571375	-0.163876	0.940916	0.976527	0.570664	
6	0.335956	0.032441	-0.273762	-0.574015	0.361523	-0.643056	-0.196917	0.621640	
7	-0.002839	0.342017	0.267771	0.325249	0.987523	0.702615	-0.815533	-0.907474	
8	-0.070606	0.039065	0.134146	0.046734	0.096876	0.976794	-0.726450	0.532898	

[2, *, *]:  1	2	3	4	5	6	7	8	:=
1	0.613693	0.178530	-0.534623	-0.187028	0.322310	0.059788	0.387473	0.953233	
2	-0.967901	0.191981	-0.676797	-0.588395	0.248702	0.847376	-0.075517	-0.613252	
3	-0.217344	0.329104	-0.523679	-0.378536	-0.159444	-0.624894	-0.669603	0.912815	
4	0.731154	0.181630	0.761926	-0.841507	0.290005	-0.570253	0.101632	-0.533309	
5	0.916949	0.736111	0.463199	-0.532753	0.749661	0.724917	0.975957	0.638796	
6	0.839184	-0.252044	-0.513222	0.331503	-0.377455	-0.801019	0.610315	-0.701163	
7	0.093976	-0.511967	0.586109	-0.297960	-0.314496	-0.056675	-0.890142	0.028209	
8	-0.380157	-0.959027	0.088242	0.639440	0.697358	0.678807	0.421857	-0.271971	
;
