param n := 5;

param m := 2;

param K := 100;

param a :=
1 	 0.588367
2 	 0.855190
3 	 0.604672
4 	 0.822578
5 	 0.879484
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	-0.358027	0.179647	-0.393309	0.857899	-0.389423	
2	-0.754090	-0.927863	-0.957248	0.014239	-0.256691	
3	0.442607	-0.599636	0.994970	-0.090616	-0.511104	
4	-0.119306	0.576602	0.164060	0.175743	0.169095	
5	-0.746529	-0.975806	-0.413247	-0.471725	0.391692	

[2, *, *]:  1	2	3	4	5	:=
1	-0.856106	-0.839878	0.408627	0.521605	-0.217802	
2	0.942167	-0.036607	0.363291	0.562092	-0.358871	
3	0.506141	-0.108654	0.394297	0.808206	0.630954	
4	0.612326	0.344945	0.237201	-0.532463	0.227052	
5	0.503281	-0.102525	-0.698039	-0.646642	0.520004	
;
