param n := 8;

param m := 2;

param K := 50;

param a :=
1 	 0.670688
2 	 0.179117
3 	 0.579748
4 	 0.002424
5 	 0.425654
6 	 0.515793
7 	 0.837797
8 	 0.757638
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	:=
1	-0.816217	-0.499786	0.688671	-0.992892	0.871692	0.319452	0.836031	-0.833380	
2	0.250067	0.896551	0.553758	-0.038539	-0.843527	-0.429657	-0.184651	-0.559633	
3	0.320006	-0.094702	0.345255	-0.244783	0.240200	-0.189105	-0.404159	0.967422	
4	0.468057	0.733431	-0.936309	0.914928	0.028810	0.699389	-0.558107	0.092749	
5	0.109720	0.306162	-0.982610	-0.888293	-0.356852	-0.756541	-0.564528	0.107341	
6	-0.785289	0.233070	-0.282925	-0.869618	0.221623	0.685942	0.537476	-0.302458	
7	0.280696	0.098802	-0.938732	0.698533	0.836156	-0.191515	0.510885	0.407573	
8	0.341062	0.295135	0.035695	0.590516	-0.874869	0.967775	0.956506	-0.000472	

[2, *, *]:  1	2	3	4	5	6	7	8	:=
1	-0.061013	-0.243149	0.588972	0.536626	-0.137979	0.753508	-0.535237	0.508803	
2	0.099546	-0.139291	-0.064631	0.595349	0.492954	-0.447447	-0.032960	0.947479	
3	-0.949640	0.484122	0.254702	-0.656308	0.191952	0.993695	0.724750	-0.715747	
4	0.062521	-0.688451	0.825078	-0.124122	-0.481858	-0.600320	0.595609	0.848081	
5	-0.734071	0.150047	-0.086056	-0.466358	-0.033660	0.679587	-0.652979	-0.561952	
6	-0.082142	0.022096	-0.729960	0.909378	0.780217	0.484684	0.984420	0.105277	
7	-0.835458	-0.263393	0.086466	0.873744	0.363108	0.728108	-0.939176	-0.134385	
8	0.777923	0.366671	-0.139944	-0.131302	0.126253	0.169835	-0.214703	0.616110	
;
