param n := 5;

param m := 10;

param K := 100;

param a :=
1 	 0.091475
2 	 0.970906
3 	 0.583101
4 	 0.555741
5 	 0.317973
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.699809	-0.840047	0.547779	0.316426	0.573769	
2	0.060309	-0.438685	0.640699	0.392267	-0.009483	
3	-0.965804	-0.499209	0.703259	0.128143	0.781800	
4	-0.630210	-0.998783	-0.696950	0.879364	-0.447603	
5	-0.133063	0.385771	0.780073	-0.496306	-0.969506	

[2, *, *]:  1	2	3	4	5	:=
1	-0.870218	0.115149	0.923785	0.278106	-0.841937	
2	0.799270	-0.272211	0.537677	-0.347257	-0.702836	
3	0.282300	0.565271	0.955845	-0.933942	0.372680	
4	0.460537	0.513731	0.180553	0.576353	0.070075	
5	0.008723	0.400012	0.238518	0.420376	-0.617571	

[3, *, *]:  1	2	3	4	5	:=
1	-0.888093	-0.811938	0.117722	0.820384	-0.516891	
2	0.222825	-0.182188	0.372923	-0.007028	0.122679	
3	-0.892777	-0.959768	-0.244460	0.525220	-0.912453	
4	-0.572849	-0.761073	0.526243	0.417924	0.846356	
5	0.005325	0.880125	0.792778	0.902594	0.890513	

[4, *, *]:  1	2	3	4	5	:=
1	0.001813	-0.422789	0.365037	0.642035	0.450093	
2	0.172235	0.077608	-0.009939	-0.658307	-0.379960	
3	0.543884	0.897914	-0.406976	0.370267	-0.681058	
4	-0.501338	-0.229199	-0.168223	0.995327	0.728644	
5	-0.242019	-0.909980	0.725021	0.568719	0.220692	

[5, *, *]:  1	2	3	4	5	:=
1	-0.219819	0.771056	0.587700	-0.922164	-0.192607	
2	0.511181	0.438012	-0.002833	-0.396063	0.473254	
3	0.437256	-0.394739	-0.172150	-0.507443	-0.394690	
4	0.294666	-0.872803	0.231125	0.944605	0.054592	
5	-0.585473	0.825593	-0.202970	0.534996	-0.585714	

[6, *, *]:  1	2	3	4	5	:=
1	-0.491479	-0.573784	-0.115904	0.984057	-0.176107	
2	-0.131954	-0.052556	-0.205017	0.924460	0.437508	
3	-0.835148	0.682919	0.578748	-0.529838	0.466907	
4	0.706576	-0.423442	-0.070975	-0.546092	0.566590	
5	0.832658	0.221418	-0.070395	0.325476	-0.473371	

[7, *, *]:  1	2	3	4	5	:=
1	0.996716	0.020218	0.128835	-0.736519	0.801184	
2	-0.012599	0.869671	-0.382533	-0.497986	0.620550	
3	-0.832147	0.801652	0.301171	0.195063	0.081700	
4	-0.775969	-0.069193	0.030208	0.250430	-0.189941	
5	0.122999	-0.587046	0.686360	-0.174812	-0.205644	

[8, *, *]:  1	2	3	4	5	:=
1	-0.772022	-0.089911	-0.854213	-0.231890	0.791969	
2	0.874490	-0.851946	-0.640672	-0.705687	-0.165039	
3	-0.530929	0.151146	-0.768129	-0.177028	0.867310	
4	-0.694366	0.397071	0.166925	0.250550	0.640914	
5	0.020032	-0.018903	-0.829824	-0.280921	-0.766715	

[9, *, *]:  1	2	3	4	5	:=
1	-0.792069	0.084652	-0.191808	-0.335870	0.038954	
2	-0.734380	0.350716	0.280329	0.157441	-0.547847	
3	0.276937	0.373503	0.869240	0.726841	-0.161106	
4	0.369184	-0.323540	-0.140059	-0.432701	-0.666011	
5	0.580020	0.301033	0.012335	0.668781	0.824789	

[10, *, *]:  1	2	3	4	5	:=
1	-0.884106	-0.000979	0.190676	0.583144	0.526004	
2	0.208007	0.272196	0.944529	-0.090350	-0.079477	
3	-0.792097	0.658511	-0.760568	0.054419	0.080471	
4	-0.373044	-0.099974	0.632635	0.970769	0.609121	
5	-0.714117	0.538898	0.670312	0.889272	-0.446261	
;
