param n := 10;

param m := 2;

param K := 20;

param a :=
1 	 0.376240
2 	 0.039037
3 	 0.127950
4 	 0.753761
5 	 0.412612
6 	 0.804086
7 	 0.669899
8 	 0.382821
9 	 0.494832
10 	 0.950555
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	0.895893	0.808672	0.455631	0.745196	-0.330067	-0.683306	-0.351140	0.711443	0.354314	0.510237	
2	-0.030034	-0.090544	-0.015914	0.615317	0.127567	0.181018	-0.940839	0.130385	0.935816	-0.429426	
3	0.424868	0.198110	-0.391510	-0.185302	-0.586220	0.276012	0.099135	0.998325	0.240224	0.528993	
4	0.499660	-0.858888	-0.419184	-0.007551	0.481943	0.815848	0.413488	-0.845806	-0.619291	0.685141	
5	0.021197	0.058881	-0.517796	0.412778	0.960006	-0.461204	-0.002998	0.030003	-0.275656	-0.089964	
6	-0.105975	-0.557376	-0.853673	0.155843	0.666662	0.421500	0.054609	-0.392089	0.560113	0.716778	
7	0.538043	-0.229621	0.162238	0.509378	0.241022	-0.299349	-0.788371	0.723220	-0.340513	0.982861	
8	-0.168746	0.119995	0.249879	0.900317	-0.015786	-0.271229	0.369489	-0.676450	-0.671516	0.883503	
9	0.000177	0.630066	-0.529516	-0.645953	0.047153	-0.837189	-0.057715	-0.997231	-0.429859	0.958548	
10	-0.825041	-0.474316	0.128589	0.578517	0.863068	-0.343391	-0.541461	-0.114026	-0.919319	0.901309	

[2, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	0.927773	-0.298640	-0.150201	-0.407611	-0.985586	0.177873	0.501831	-0.708949	-0.610446	0.412028	
2	0.395871	-0.586819	-0.802001	0.437485	0.901778	-0.865990	0.063079	0.186961	-0.715733	-0.697894	
3	-0.687632	0.700315	-0.821449	-0.030371	-0.123529	-0.442339	0.490382	-0.172148	-0.602135	-0.127119	
4	0.293518	0.224808	0.059039	0.908324	-0.287710	0.862698	-0.564561	-0.737710	-0.985289	0.781726	
5	0.981452	0.150672	-0.328058	-0.282445	-0.796122	0.403307	0.037104	0.617544	-0.757956	-0.680461	
6	-0.511420	-0.503905	0.322793	0.450245	-0.525240	0.367388	0.625293	0.431276	0.381077	-0.762688	
7	0.363527	-0.732985	0.907793	0.185932	-0.405827	-0.287544	-0.446119	0.951661	-0.415606	0.644414	
8	-0.741476	-0.870067	-0.902021	0.403454	-0.042874	0.191874	0.007351	-0.919933	-0.014862	-0.883854	
9	0.996367	0.214505	-0.757500	-0.427827	-0.169967	0.641421	0.304776	0.606184	0.761891	-0.535508	
10	-0.160285	0.459187	0.216463	0.100729	-0.887632	0.558025	-0.837521	-0.016893	0.047594	0.189912	
;
