param n := 2;

param m := 10;

param K := 500;

param a :=
1 	 0.889131
2 	 0.354953
;
 param A :=
[1, *, *]:  1	2	:=
1	-0.508963	-0.912931	
2	0.822038	0.901507	

[2, *, *]:  1	2	:=
1	0.112814	0.990105	
2	-0.247274	-0.883275	

[3, *, *]:  1	2	:=
1	0.033413	0.142351	
2	-0.937806	-0.639063	

[4, *, *]:  1	2	:=
1	0.261918	0.749805	
2	0.961847	-0.096328	

[5, *, *]:  1	2	:=
1	0.416922	-0.010314	
2	0.554938	0.057067	

[6, *, *]:  1	2	:=
1	-0.698431	-0.715557	
2	-0.261200	0.453788	

[7, *, *]:  1	2	:=
1	-0.045974	0.771996	
2	-0.102242	0.055238	

[8, *, *]:  1	2	:=
1	-0.181818	-0.855976	
2	-0.462216	-0.163728	

[9, *, *]:  1	2	:=
1	-0.948493	0.007019	
2	-0.417692	0.931866	

[10, *, *]:  1	2	:=
1	-0.781234	-0.000135	
2	0.346082	0.554196	
;
