param n := 5;

param m := 10;

param K := 100;

param a :=
1 	 0.915584
2 	 0.863412
3 	 0.638819
4 	 0.747675
5 	 0.157323
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.205749	-0.176932	0.626295	0.789552	-0.237902	
2	-0.345925	-0.046532	0.354684	0.484470	-0.088506	
3	-0.022644	0.442806	-0.356699	-0.467798	0.587052	
4	-0.549229	-0.755606	0.421331	-0.255025	-0.792120	
5	0.803915	0.006130	0.868879	0.116836	0.945993	

[2, *, *]:  1	2	3	4	5	:=
1	0.409238	-0.493828	-0.552795	-0.465634	0.468818	
2	0.729456	-0.907503	0.670642	0.247631	-0.737700	
3	0.563360	-0.806244	-0.981323	0.429559	-0.712628	
4	-0.135633	-0.598527	0.491802	-0.346085	-0.249187	
5	0.885022	0.078161	0.938016	-0.133747	-0.543182	

[3, *, *]:  1	2	3	4	5	:=
1	-0.386027	0.131933	0.784955	-0.389804	-0.986409	
2	-0.699869	0.094398	-0.863934	0.207173	-0.256763	
3	-0.806728	-0.099285	0.149779	-0.531184	-0.902205	
4	0.831968	0.495641	-0.321895	-0.411388	0.748752	
5	-0.308213	-0.336847	-0.272199	-0.429011	0.443645	

[4, *, *]:  1	2	3	4	5	:=
1	0.190614	-0.751482	-0.588999	-0.337845	0.237970	
2	0.487757	-0.190835	0.326303	-0.275954	0.156160	
3	0.802188	0.157902	-0.487142	-0.120863	0.746825	
4	0.388181	0.205689	-0.164478	-0.918664	0.282373	
5	0.181513	0.921556	0.943901	-0.202860	0.113912	

[5, *, *]:  1	2	3	4	5	:=
1	0.281294	-0.409497	0.502543	-0.391490	-0.972296	
2	-0.904766	0.154434	0.779683	0.050941	-0.109026	
3	0.992243	0.119122	-0.089180	-0.618065	0.993401	
4	-0.696589	-0.295771	0.198812	-0.571797	0.645366	
5	-0.163106	0.947259	-0.173093	0.021575	-0.833079	

[6, *, *]:  1	2	3	4	5	:=
1	0.311781	0.101529	-0.624692	-0.921291	-0.046495	
2	-0.549214	-0.912075	-0.832533	-0.812734	0.959539	
3	-0.764088	0.713509	0.031939	-0.918645	-0.858526	
4	-0.302645	-0.044810	-0.090911	-0.648522	0.734831	
5	0.354334	0.713552	-0.972211	0.151072	0.157040	

[7, *, *]:  1	2	3	4	5	:=
1	0.752951	0.116988	-0.134090	-0.132713	0.457413	
2	-0.888573	-0.973975	-0.377182	0.369079	0.590508	
3	-0.801693	0.284506	-0.190459	0.321475	0.123626	
4	0.726189	0.695329	-0.543950	0.544980	-0.068659	
5	0.140768	0.992252	-0.547803	-0.566371	-0.683600	

[8, *, *]:  1	2	3	4	5	:=
1	-0.907094	-0.004724	0.546907	-0.322840	-0.237859	
2	-0.072336	0.909808	-0.593880	-0.424111	0.579966	
3	0.308604	0.754890	0.679775	0.212446	0.421095	
4	-0.574907	0.748099	-0.667504	-0.878777	0.408296	
5	-0.200101	0.993201	0.778174	0.814176	0.065252	

[9, *, *]:  1	2	3	4	5	:=
1	-0.066649	0.873234	-0.650352	-0.042014	-0.641281	
2	0.290796	0.630195	-0.316042	0.842104	-0.410322	
3	0.383154	0.461219	0.467036	-0.244602	-0.226020	
4	-0.528364	0.643422	0.956747	0.283381	-0.080359	
5	0.507616	-0.986090	0.465756	-0.996991	0.593438	

[10, *, *]:  1	2	3	4	5	:=
1	-0.440309	-0.485618	-0.022163	0.303642	-0.957221	
2	-0.834677	0.552683	-0.391956	-0.756236	0.664958	
3	0.042740	0.231167	0.330154	-0.065554	0.878292	
4	0.962304	-0.984903	-0.428878	0.470411	0.971636	
5	-0.198483	0.972410	-0.072912	0.921036	0.875663	
;
