param n := 5;

param m := 5;

param K := 100;

param a :=
1 	 0.769725
2 	 0.802866
3 	 0.424560
4 	 0.204122
5 	 0.067089
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	-0.602703	0.916377	0.063167	-0.430136	-0.535800	
2	-0.455198	0.366342	0.358426	0.537706	0.255924	
3	0.197578	0.483928	0.025750	0.281565	-0.391989	
4	0.746167	0.965762	-0.401775	0.602661	-0.940943	
5	-0.743538	-0.167798	-0.789231	0.034241	0.806662	

[2, *, *]:  1	2	3	4	5	:=
1	-0.159261	-0.654598	0.707945	-0.525572	-0.920529	
2	-0.147738	-0.355285	0.191660	0.078982	-0.704862	
3	0.482503	-0.503152	-0.519653	0.498562	0.702878	
4	0.896917	-0.009010	-0.627015	-0.543502	-0.790728	
5	-0.854969	0.648919	0.486781	-0.650998	-0.552710	

[3, *, *]:  1	2	3	4	5	:=
1	-0.934486	-0.245565	0.545161	0.344842	0.408994	
2	0.352713	-0.151125	-0.725588	0.035573	-0.547810	
3	-0.536594	-0.054070	-0.151415	-0.619826	0.689976	
4	-0.172817	-0.154316	-0.456088	-0.061731	0.052459	
5	-0.721398	-0.794487	-0.397984	-0.320918	0.001239	

[4, *, *]:  1	2	3	4	5	:=
1	-0.492628	-0.433075	-0.160103	-0.526036	0.762337	
2	-0.627689	0.601282	0.205574	0.851441	-0.747843	
3	-0.056362	0.329554	0.438678	0.562391	0.266922	
4	0.963649	-0.442483	0.714601	-0.385237	-0.444575	
5	-0.734188	-0.370705	0.362223	-0.390069	0.654401	

[5, *, *]:  1	2	3	4	5	:=
1	-0.270953	-0.206024	-0.097276	0.634765	0.467846	
2	0.466732	-0.676852	0.800898	0.815289	-0.825054	
3	-0.615164	0.297964	0.743971	-0.994985	-0.200490	
4	-0.037108	0.506652	0.414375	-0.205544	-0.440758	
5	0.607189	-0.439615	0.181801	0.122819	-0.152980	
;
