param n := 10;

param m := 2;

param K := 20;

param a :=
1 	 0.116972
2 	 0.824704
3 	 0.193089
4 	 0.995546
5 	 0.471412
6 	 0.547271
7 	 0.082274
8 	 0.051293
9 	 0.207424
10 	 0.160789
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	-0.097872	-0.612369	0.523906	0.336221	-0.562559	0.030687	-0.126671	-0.059689	-0.206566	0.437111	
2	0.259896	0.216864	-0.634003	-0.860529	-0.556685	-0.106292	0.655235	-0.742987	-0.565100	-0.113611	
3	0.452659	0.830168	-0.520678	-0.524394	-0.818396	-0.899131	0.843184	-0.331223	0.484476	0.365408	
4	-0.087902	0.263039	0.914010	-0.805938	-0.502365	0.531552	-0.123591	-0.462807	0.845276	-0.883142	
5	-0.246139	0.155351	0.515999	0.740936	0.179302	-0.809610	-0.475885	0.071619	-0.477427	0.308565	
6	-0.871171	-0.315240	-0.614160	0.668075	0.764430	-0.323259	-0.077117	-0.160384	0.264583	-0.423245	
7	0.076674	-0.729056	0.403903	-0.529678	-0.689904	0.157931	-0.810376	0.672065	0.419157	0.755692	
8	-0.097927	0.016774	0.666949	0.508766	-0.476242	0.701707	0.317555	0.402416	0.474161	-0.669400	
9	-0.195285	0.292529	-0.127499	0.016727	0.267158	-0.478292	0.264694	-0.008203	-0.459561	-0.108861	
10	-0.852326	0.935032	-0.981047	-0.157690	-0.797608	0.620564	-0.006400	0.199042	-0.795313	0.938307	

[2, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	-0.827744	0.450522	-0.622975	-0.070522	0.283097	0.183262	-0.391924	-0.813661	0.903659	0.207279	
2	-0.199073	-0.593763	-0.731631	-0.599550	0.952891	-0.498920	-0.743424	-0.406504	-0.484712	-0.491009	
3	-0.429083	-0.613100	0.789744	0.787166	-0.299516	-0.652878	-0.485915	-0.740646	-0.397293	-0.980579	
4	-0.834642	-0.967101	0.377156	0.196570	0.605416	0.476087	0.004666	-0.677950	0.683789	-0.414566	
5	0.419546	0.226752	0.269563	0.375108	0.354547	-0.775768	0.122823	-0.312841	0.169778	0.227670	
6	0.124881	0.173341	-0.875138	0.615149	0.040930	-0.564751	0.961132	-0.377329	-0.649899	-0.613830	
7	0.976085	-0.079712	-0.799259	0.175792	-0.711132	0.730612	-0.140849	0.524708	-0.895749	-0.417835	
8	-0.544782	0.412404	-0.163712	0.694853	0.677668	0.809205	0.358611	0.897834	0.090276	0.965286	
9	-0.790675	-0.881371	0.552352	-0.059086	-0.147650	-0.812975	0.778826	0.161434	-0.704104	0.559383	
10	-0.060186	0.329961	-0.981478	-0.651251	0.565898	-0.970889	-0.696218	0.966944	0.544866	-0.539049	
;
