param n := 2;

param m := 10;

param K := 500;

param a :=
1 	 0.948299
2 	 0.645086
;
 param A :=
[1, *, *]:  1	2	:=
1	-0.696550	0.131324	
2	0.278254	-0.062668	

[2, *, *]:  1	2	:=
1	-0.143925	0.699940	
2	0.198540	0.502242	

[3, *, *]:  1	2	:=
1	0.158721	-0.870520	
2	0.849408	0.982693	

[4, *, *]:  1	2	:=
1	-0.894011	-0.154495	
2	-0.601009	-0.784982	

[5, *, *]:  1	2	:=
1	0.247341	-0.430752	
2	-0.904015	-0.877927	

[6, *, *]:  1	2	:=
1	0.407039	-0.242839	
2	0.336912	-0.623611	

[7, *, *]:  1	2	:=
1	0.494010	0.590602	
2	-0.319241	-0.024198	

[8, *, *]:  1	2	:=
1	0.051339	0.288464	
2	-0.943018	-0.298687	

[9, *, *]:  1	2	:=
1	-0.541590	-0.235065	
2	-0.132233	-0.060422	

[10, *, *]:  1	2	:=
1	0.958967	0.548820	
2	-0.271244	0.105535	
;
