param n := 5;

param m := 5;

param K := 100;

param a :=
1 	 0.280956
2 	 0.602147
3 	 0.396463
4 	 0.628023
5 	 0.300632
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.638717	-0.209299	-0.293515	0.307680	0.695253	
2	-0.860428	0.910780	-0.603602	-0.112460	0.318071	
3	-0.916245	-0.778409	-0.558812	0.437879	-0.242338	
4	-0.901207	0.295106	-0.912357	-0.780048	-0.166867	
5	-0.699090	0.055243	0.426328	0.877438	-0.035692	

[2, *, *]:  1	2	3	4	5	:=
1	0.870568	0.898529	0.673504	-0.738614	0.955761	
2	0.727186	0.278370	0.104112	0.072005	-0.498454	
3	-0.044152	0.497041	0.735254	0.801566	-0.332780	
4	0.109037	-0.296750	0.699744	0.541664	0.908401	
5	0.750808	0.836057	0.616823	-0.158574	0.617431	

[3, *, *]:  1	2	3	4	5	:=
1	0.800680	0.475991	0.067416	-0.497594	-0.782010	
2	-0.976821	0.448170	0.101159	0.311522	0.087575	
3	-0.240471	-0.076401	0.230954	0.920794	0.253832	
4	-0.528956	-0.269451	-0.208703	-0.992890	-0.514106	
5	-0.408130	0.169383	0.543437	0.446722	0.827688	

[4, *, *]:  1	2	3	4	5	:=
1	0.244625	-0.810088	0.048371	-0.097795	0.131464	
2	-0.536611	0.161968	0.315043	-0.184100	0.817616	
3	0.540264	-0.494040	0.626588	0.749495	-0.698620	
4	-0.788986	0.298934	0.615025	0.405863	0.691035	
5	0.110451	0.431654	0.239364	-0.630130	0.640405	

[5, *, *]:  1	2	3	4	5	:=
1	-0.001318	-0.255002	0.079358	0.533725	0.051423	
2	-0.924832	0.238079	0.236023	0.268562	0.317136	
3	-0.704995	-0.606104	-0.538020	-0.064900	-0.637609	
4	0.845277	0.962160	-0.067382	0.333885	0.576099	
5	-0.911690	-0.688050	-0.017983	-0.093245	0.205731	
;
