param n := 5;

param m := 10;

param K := 100;

param a :=
1 	 0.210522
2 	 0.388353
3 	 0.176375
4 	 0.918686
5 	 0.189599
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.467972	0.626899	0.843236	-0.119707	-0.592285	
2	0.913831	0.523397	0.621543	-0.787885	-0.300788	
3	-0.044564	0.919207	0.628675	0.754564	0.380959	
4	0.628439	-0.326800	0.896596	-0.312601	0.845413	
5	-0.143561	0.533189	-0.418634	0.810490	0.375892	

[2, *, *]:  1	2	3	4	5	:=
1	-0.319813	0.787257	0.071571	-0.529727	0.882325	
2	-0.919913	-0.987382	-0.149473	0.010612	-0.635087	
3	-0.336499	-0.846531	0.767275	-0.274963	-0.034425	
4	-0.047678	-0.436419	0.454704	0.617240	0.788495	
5	0.460800	0.071238	-0.728077	-0.161329	-0.868528	

[3, *, *]:  1	2	3	4	5	:=
1	-0.441537	0.707851	0.963708	-0.602145	-0.279815	
2	-0.594454	-0.792063	-0.326102	0.293227	0.209348	
3	0.969626	-0.300113	0.563897	0.128279	-0.987014	
4	-0.063092	-0.006609	0.717435	-0.690849	0.181031	
5	0.776342	0.757790	-0.437501	0.484345	0.466852	

[4, *, *]:  1	2	3	4	5	:=
1	-0.308651	0.482118	-0.377530	0.403067	-0.151935	
2	0.518660	0.834170	-0.533789	0.681997	0.127354	
3	-0.146060	-0.113798	-0.282128	-0.881852	0.879604	
4	-0.153600	0.973969	-0.190661	-0.093856	-0.339357	
5	-0.401295	0.598975	-0.008203	-0.144888	0.897936	

[5, *, *]:  1	2	3	4	5	:=
1	-0.508231	0.931523	-0.938679	0.378920	0.732175	
2	0.096810	0.102286	0.521561	0.498905	0.064803	
3	0.426802	0.810853	0.355240	0.116564	0.789678	
4	0.761243	0.309369	-0.423373	0.330475	0.479419	
5	0.563397	-0.661980	-0.787967	-0.191878	0.045804	

[6, *, *]:  1	2	3	4	5	:=
1	0.439314	-0.939007	0.949620	0.165717	0.900545	
2	0.773492	-0.733836	-0.021867	0.583467	0.836557	
3	-0.610977	-0.189306	0.920535	0.075401	-0.152261	
4	-0.140390	-0.775282	-0.728462	0.959786	-0.178956	
5	0.718702	0.452304	0.400887	-0.120694	-0.960106	

[7, *, *]:  1	2	3	4	5	:=
1	-0.103012	-0.119653	-0.118927	-0.596939	-0.166145	
2	-0.601180	0.200498	-0.199179	0.605450	0.039470	
3	-0.328149	0.687037	-0.857746	0.396296	-0.293423	
4	-0.434968	0.665544	-0.065236	0.950816	0.090493	
5	0.340396	0.171115	-0.193914	-0.228968	0.779505	

[8, *, *]:  1	2	3	4	5	:=
1	0.461039	-0.366395	-0.263728	0.398215	0.561293	
2	-0.586976	0.225903	0.376753	-0.658284	0.580978	
3	0.600306	0.304582	0.856677	0.457811	0.898024	
4	0.590616	-0.759550	0.349744	-0.188560	-0.593629	
5	0.598182	0.837351	0.876955	-0.362853	0.065329	

[9, *, *]:  1	2	3	4	5	:=
1	0.544245	0.154287	-0.134380	-0.760731	-0.521758	
2	0.032698	0.076096	0.711246	-0.708976	0.050939	
3	-0.542427	0.679952	-0.548789	0.873210	-0.738732	
4	0.990581	0.829268	0.081032	-0.610015	-0.420919	
5	0.778640	0.639171	-0.369699	0.299820	-0.198951	

[10, *, *]:  1	2	3	4	5	:=
1	0.413358	-0.798850	-0.495185	0.478118	0.068590	
2	0.802140	-0.103781	-0.832398	0.946639	-0.716339	
3	-0.142846	0.521012	0.026001	0.326329	0.604778	
4	0.427644	-0.536769	-0.998044	-0.011567	0.152298	
5	-0.721827	0.618266	0.416226	-0.852753	-0.574172	
;
