param n := 2;

param m := 10;

param K := 500;

param a :=
1 	 0.206454
2 	 0.076189
;
 param A :=
[1, *, *]:  1	2	:=
1	0.015843	-0.285877	
2	-0.476901	-0.783869	

[2, *, *]:  1	2	:=
1	0.575104	0.971418	
2	-0.786832	-0.645678	

[3, *, *]:  1	2	:=
1	0.144810	0.574233	
2	-0.910309	-0.620788	

[4, *, *]:  1	2	:=
1	0.055808	-0.700137	
2	0.480155	0.102174	

[5, *, *]:  1	2	:=
1	-0.566766	0.445830	
2	0.518392	-0.646902	

[6, *, *]:  1	2	:=
1	0.723933	0.720474	
2	-0.960450	0.117808	

[7, *, *]:  1	2	:=
1	-0.193559	0.433858	
2	0.517494	0.974652	

[8, *, *]:  1	2	:=
1	-0.443830	0.867805	
2	-0.992413	0.715794	

[9, *, *]:  1	2	:=
1	0.457702	0.413912	
2	0.033378	0.561059	

[10, *, *]:  1	2	:=
1	-0.250248	0.501249	
2	0.540645	0.226422	
;
