param n := 2;

param m := 10;

param K := 500;

param a :=
1 	 0.779744
2 	 0.174736
;
 param A :=
[1, *, *]:  1	2	:=
1	-0.316094	0.433542	
2	-0.710805	0.398615	

[2, *, *]:  1	2	:=
1	0.376995	0.384720	
2	-0.493208	-0.545405	

[3, *, *]:  1	2	:=
1	-0.150702	-0.289384	
2	-0.256156	-0.884690	

[4, *, *]:  1	2	:=
1	0.263293	0.227177	
2	0.414633	0.296626	

[5, *, *]:  1	2	:=
1	-0.660119	0.028350	
2	-0.701106	0.750665	

[6, *, *]:  1	2	:=
1	-0.632093	-0.142135	
2	-0.074322	-0.005422	

[7, *, *]:  1	2	:=
1	-0.676978	-0.476239	
2	-0.315119	0.689054	

[8, *, *]:  1	2	:=
1	0.600664	0.214031	
2	-0.146722	-0.709069	

[9, *, *]:  1	2	:=
1	0.019227	0.719302	
2	-0.406106	0.343197	

[10, *, *]:  1	2	:=
1	0.266948	-0.058824	
2	-0.750497	0.973146	
;
