param n := 10;

param m := 2;

param K := 20;

param a :=
1 	 0.461454
2 	 0.546110
3 	 0.615189
4 	 0.059105
5 	 0.995673
6 	 0.254908
7 	 0.643407
8 	 0.126433
9 	 0.167863
10 	 0.491105
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	-0.422999	0.864732	0.329966	-0.634991	0.313524	-0.129385	0.416974	-0.525302	0.109821	-0.188685	
2	0.008480	-0.309264	0.943829	0.952035	0.584388	0.217520	-0.002303	-0.141904	0.824436	-0.912779	
3	-0.795637	0.031433	-0.501160	0.482876	-0.293472	0.183113	-0.014183	0.476457	0.681562	-0.242014	
4	-0.161410	0.573183	-0.481725	-0.319673	-0.124252	0.903771	-0.503007	-0.619375	-0.047052	-0.933678	
5	-0.462797	-0.861180	-0.825538	0.844669	0.926072	-0.283193	-0.569227	0.960959	0.761200	-0.511593	
6	0.163804	0.506443	-0.813950	0.172662	-0.480974	0.063587	-0.232281	-0.498120	0.627062	0.685567	
7	-0.656589	-0.765041	-0.371189	-0.469605	0.438521	-0.203245	-0.461166	-0.816145	-0.610723	-0.050571	
8	0.924643	-0.221740	0.665062	-0.036867	0.702276	0.229459	-0.403390	0.324408	0.344898	-0.608918	
9	0.088423	0.393986	0.024840	-0.131228	0.483666	-0.070308	-0.570050	-0.751729	0.438455	0.866878	
10	0.403905	-0.880256	-0.228719	-0.394998	-0.566894	0.910973	-0.138569	-0.082911	0.305145	-0.648312	

[2, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	0.420379	0.529394	0.388331	-0.601918	-0.474814	-0.865767	0.674118	0.426024	-0.619756	-0.412393	
2	-0.495684	-0.568545	0.449212	-0.015320	0.182218	-0.070433	-0.514457	0.780850	0.063653	-0.700139	
3	-0.748490	-0.265543	0.736710	0.960549	0.112653	0.872635	0.011451	-0.926105	0.979064	-0.784430	
4	-0.152958	-0.877076	-0.587356	-0.616167	-0.353962	-0.703832	-0.063211	-0.676851	-0.884855	0.737797	
5	-0.386251	0.598147	-0.202093	-0.514585	-0.510392	0.763179	0.609804	-0.587636	-0.833138	-0.993470	
6	0.112470	0.715526	0.577687	-0.169090	0.258341	-0.602818	-0.029068	0.096384	-0.164741	0.037173	
7	-0.988609	0.958006	-0.554626	0.590086	-0.277120	-0.034343	-0.904012	0.374995	0.709225	0.101642	
8	-0.196252	0.901287	-0.035638	0.719846	-0.106878	-0.018065	-0.402183	-0.315337	-0.202822	-0.768100	
9	-0.351252	-0.025821	0.561931	0.537570	-0.152622	-0.530400	0.443268	0.739604	-0.980102	-0.599918	
10	-0.582244	-0.407372	0.209320	-0.154684	0.209964	0.193167	0.081525	0.758395	0.291084	0.724444	
;
