param n := 5;

param m := 5;

param K := 100;

param a :=
1 	 0.980333
2 	 0.222383
3 	 0.466266
4 	 0.895642
5 	 0.601433
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.451918	0.614731	0.534847	-0.622845	0.025299	
2	-0.172660	0.939076	-0.837567	-0.118256	0.147771	
3	0.368619	-0.970863	0.996827	0.689624	-0.119362	
4	0.892110	-0.569581	-0.220776	0.190540	-0.612882	
5	-0.599628	-0.765246	0.810406	-0.075684	-0.772068	

[2, *, *]:  1	2	3	4	5	:=
1	-0.697544	-0.849378	0.883772	-0.973163	0.600279	
2	-0.895018	-0.148551	0.739822	0.964956	-0.462128	
3	0.117353	0.204016	0.407999	-0.655845	-0.561692	
4	0.695442	-0.149193	-0.059402	0.812521	-0.142399	
5	-0.281761	0.621442	0.365396	0.614220	0.698742	

[3, *, *]:  1	2	3	4	5	:=
1	-0.099241	0.286925	-0.430508	-0.735237	-0.477159	
2	0.870840	-0.909004	-0.755478	0.597241	-0.163006	
3	-0.294641	-0.072886	0.336578	0.653537	0.083598	
4	0.238784	-0.330497	0.362720	0.293100	-0.045124	
5	0.961398	0.064363	0.734279	-0.590156	-0.065080	

[4, *, *]:  1	2	3	4	5	:=
1	0.679681	0.928072	-0.896069	-0.317706	-0.697851	
2	0.740205	0.213089	-0.730907	-0.911377	0.046017	
3	0.633508	0.207895	-0.739516	-0.532531	0.887019	
4	0.755603	-0.361405	0.310403	0.928449	0.731372	
5	0.142018	0.362408	-0.649335	0.018279	-0.215868	

[5, *, *]:  1	2	3	4	5	:=
1	-0.432265	0.728288	-0.104984	0.153956	0.065845	
2	0.523460	-0.104202	-0.631745	0.750777	0.924156	
3	-0.519031	0.123573	0.657466	0.217131	-0.631009	
4	-0.491535	0.473422	-0.938004	-0.496681	0.019797	
5	-0.831827	0.592978	0.893457	-0.407740	-0.312424	
;
