param n := 8;

param m := 2;

param K := 50;

param a :=
1 	 0.133637
2 	 0.180155
3 	 0.497257
4 	 0.020049
5 	 0.736138
6 	 0.592424
7 	 0.158833
8 	 0.917312
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	:=
1	0.087452	0.429214	-0.984343	-0.111946	0.488782	0.982619	0.525514	0.882392	
2	0.995525	0.426198	-0.917308	0.977280	-0.776313	-0.172099	0.263844	-0.106225	
3	-0.915351	0.387903	-0.852348	-0.427503	0.571343	-0.925330	0.692862	0.235168	
4	0.625893	-0.976701	0.747495	-0.783013	0.088317	0.940824	0.908798	-0.835024	
5	-0.845239	-0.559049	-0.045122	0.093802	-0.978951	-0.558921	-0.588392	-0.539174	
6	0.880494	0.594544	0.463446	0.362343	0.178196	0.910023	-0.181311	-0.756027	
7	-0.277128	0.573941	-0.563366	-0.730559	0.609340	0.930746	0.457114	0.533379	
8	0.333225	0.603324	0.339660	0.078488	0.981886	-0.343327	0.179838	-0.961463	

[2, *, *]:  1	2	3	4	5	6	7	8	:=
1	0.881997	0.779776	-0.303702	-0.317646	0.351356	-0.587505	-0.872401	0.938288	
2	0.671779	0.108740	-0.302481	0.012236	-0.042084	-0.259657	-0.907791	-0.151030	
3	0.358019	-0.793222	-0.847751	0.246974	0.912268	0.017713	-0.730149	0.832106	
4	-0.942700	-0.078949	-0.824975	0.170577	-0.478167	0.361851	-0.060969	-0.531309	
5	-0.484205	-0.716030	-0.900238	-0.732250	0.421295	-0.380809	-0.231792	0.965095	
6	-0.727436	-0.153713	-0.851048	0.238828	-0.596716	-0.235327	0.350397	-0.747023	
7	0.421397	0.427746	-0.229821	0.044713	0.327236	0.521857	-0.809211	0.559846	
8	-0.861068	0.392587	0.632743	0.502956	-0.500969	-0.339938	-0.676390	0.961263	
;
