param n := 8;

param m := 2;

param K := 50;

param a :=
1 	 0.138570
2 	 0.190870
3 	 0.567513
4 	 0.209952
5 	 0.879993
6 	 0.578353
7 	 0.911755
8 	 0.764342
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	:=
1	-0.050114	0.376256	-0.499107	0.613195	0.437287	-0.332120	0.739543	-0.663961	
2	0.384817	-0.961155	0.631382	0.648176	-0.040633	-0.661897	-0.416095	-0.301903	
3	-0.880396	-0.089456	0.760240	0.113101	-0.242012	-0.766748	-0.796000	-0.755826	
4	0.262517	-0.561699	-0.123366	0.765908	-0.096307	0.590666	0.617783	-0.425826	
5	0.968095	0.614431	0.172660	-0.594123	-0.264828	0.404056	-0.947653	-0.741805	
6	-0.761231	0.291275	0.248601	-0.172769	-0.520924	-0.849535	0.272695	-0.073228	
7	-0.096867	0.332538	0.455211	0.260220	0.831745	-0.766812	-0.679826	0.298815	
8	-0.962932	0.099782	0.181807	-0.794855	0.598725	0.827608	0.383249	-0.210979	

[2, *, *]:  1	2	3	4	5	6	7	8	:=
1	0.905917	-0.038816	0.264135	0.566126	0.896642	0.762600	0.225079	-0.477951	
2	0.509731	0.808313	-0.857165	0.708320	0.783628	-0.947618	0.043671	-0.731522	
3	0.088751	0.699000	-0.166316	-0.041892	0.396038	0.901656	0.634082	0.082683	
4	0.127046	-0.558009	-0.601406	0.852989	0.340366	0.139835	-0.887634	0.963799	
5	-0.358792	0.472473	0.401167	-0.936891	0.947156	0.315136	0.253951	-0.300185	
6	0.025040	0.169747	-0.453379	0.876566	-0.069783	0.818341	-0.140523	0.990823	
7	0.515623	0.051072	-0.127161	-0.302742	-0.791966	0.803905	0.721862	0.036150	
8	-0.996381	0.322889	0.643251	0.625646	-0.951705	-0.218290	0.375733	-0.619325	
;
