param n := 5;

param m := 5;

param K := 100;

param a :=
1 	 0.308037
2 	 0.586962
3 	 0.395464
4 	 0.663946
5 	 0.851955
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	-0.619556	0.580191	-0.232356	0.751061	-0.497083	
2	0.806545	0.029551	-0.570047	-0.837527	-0.957398	
3	-0.233648	0.062289	-0.934269	-0.632209	0.921009	
4	0.886249	-0.344812	-0.450226	0.408061	0.364441	
5	0.234765	-0.741271	-0.638848	0.838452	-0.378675	

[2, *, *]:  1	2	3	4	5	:=
1	-0.055253	0.908681	0.473294	0.435114	0.431973	
2	0.198512	-0.297869	0.618676	0.881698	0.494765	
3	-0.252263	0.874348	-0.207481	0.959196	0.206359	
4	0.748976	-0.041799	-0.104108	-0.642173	0.754600	
5	0.452345	0.284645	0.634554	-0.544161	-0.496019	

[3, *, *]:  1	2	3	4	5	:=
1	-0.321025	-0.559266	0.634703	0.858546	0.501457	
2	-0.010706	-0.029325	0.006614	-0.195844	-0.630504	
3	-0.369946	0.985963	-0.894432	-0.846335	-0.138053	
4	0.090878	-0.351677	0.780610	-0.509398	0.746491	
5	0.364956	-0.929276	-0.190971	-0.299479	0.067522	

[4, *, *]:  1	2	3	4	5	:=
1	-0.793691	0.529452	0.390795	0.806757	0.718747	
2	-0.950955	0.350895	0.733977	-0.826642	0.156645	
3	0.411620	0.591005	0.349214	-0.614000	-0.600709	
4	0.958255	-0.919964	-0.647448	-0.449614	-0.169820	
5	0.570331	-0.470637	0.872617	0.476824	-0.724282	

[5, *, *]:  1	2	3	4	5	:=
1	0.834792	-0.362649	-0.551594	0.359112	0.605465	
2	0.529062	-0.758734	-0.479204	-0.929853	-0.518348	
3	0.020428	0.564676	-0.382254	-0.343779	-0.534169	
4	-0.092850	0.089767	-0.224590	0.490584	-0.619326	
5	-0.804316	-0.545445	-0.404902	0.885616	0.764995	
;
