param n := 8;

param m := 2;

param K := 50;

param a :=
1 	 0.198040
2 	 0.139707
3 	 0.221660
4 	 0.235347
5 	 0.726404
6 	 0.095244
7 	 0.668244
8 	 0.910932
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	:=
1	0.259996	-0.253879	0.621279	-0.348053	0.058628	-0.194142	0.682769	0.099220	
2	-0.326231	0.623228	-0.694578	-0.034432	-0.723881	-0.812871	-0.834639	0.427564	
3	0.678901	0.039209	0.080318	-0.235379	0.299581	-0.764213	-0.919844	-0.687678	
4	0.797127	0.879169	0.220603	-0.346045	-0.534092	-0.250366	-0.012934	-0.956515	
5	-0.013083	0.231637	-0.625886	0.975359	-0.806887	-0.669228	0.201517	0.016106	
6	0.126965	0.558910	0.273781	0.757996	-0.956015	0.437905	0.367999	0.907376	
7	0.161326	-0.503942	-0.864850	-0.395413	0.718126	-0.748297	-0.043451	-0.949693	
8	-0.734486	0.118615	0.559079	-0.678706	-0.714580	0.477667	0.086318	0.225603	

[2, *, *]:  1	2	3	4	5	6	7	8	:=
1	-0.012237	-0.174667	-0.153275	-0.381850	-0.581904	0.257039	0.555062	-0.031823	
2	0.800392	0.653182	0.341523	0.581234	0.748855	0.191931	0.320532	-0.857123	
3	-0.952786	0.370024	-0.326757	0.833325	-0.488217	-0.029758	0.819593	-0.922629	
4	0.319012	-0.783974	0.039509	-0.923189	0.427218	-0.279136	-0.744771	0.681219	
5	0.312442	-0.720210	0.642241	-0.108743	0.704460	-0.958469	-0.235283	-0.985262	
6	0.767506	-0.683856	0.769184	-0.520142	0.864823	0.497345	0.154770	0.407516	
7	0.072844	-0.758921	0.408987	-0.011969	0.911459	-0.212650	-0.291005	-0.108874	
8	0.381294	-0.539445	0.668981	0.234952	0.360402	-0.441323	-0.303903	0.939019	
;
