param n := 5;

param m := 5;

param K := 100;

param a :=
1 	 0.268263
2 	 0.796745
3 	 0.929993
4 	 0.625331
5 	 0.132807
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.515141	0.309075	0.846006	0.077863	-0.930732	
2	0.053811	0.708516	0.804152	0.084152	0.386389	
3	0.507738	0.485176	-0.208499	0.650351	0.174969	
4	0.717223	0.454202	-0.831957	-0.936032	0.283498	
5	0.895083	0.717582	0.659147	0.755921	-0.251840	

[2, *, *]:  1	2	3	4	5	:=
1	-0.449076	-0.117242	0.085233	-0.225908	-0.183906	
2	0.018817	0.944278	0.768112	0.708120	-0.899330	
3	0.771646	0.485045	-0.449892	-0.458310	0.489668	
4	0.130579	-0.290195	-0.783865	0.252718	-0.408549	
5	0.326298	0.307062	-0.617456	0.247104	-0.203084	

[3, *, *]:  1	2	3	4	5	:=
1	-0.245521	0.966078	0.811617	0.404632	0.356166	
2	0.327205	0.196854	-0.363782	0.250031	0.542725	
3	-0.827333	-0.231772	0.532984	0.861469	0.143271	
4	0.099780	-0.706504	-0.425004	-0.461915	0.667809	
5	-0.969156	0.393757	0.914451	0.847231	0.396564	

[4, *, *]:  1	2	3	4	5	:=
1	-0.706783	-0.428567	0.810755	0.307986	-0.934183	
2	0.224922	-0.904691	-0.305172	-0.443281	-0.773178	
3	-0.441359	-0.104842	-0.104943	-0.025057	-0.045078	
4	0.831757	0.115176	0.702475	0.241905	-0.951947	
5	-0.603535	0.147122	0.153659	-0.733212	0.252418	

[5, *, *]:  1	2	3	4	5	:=
1	-0.804835	-0.957841	-0.220323	0.330337	0.212071	
2	-0.498077	0.970091	-0.094883	-0.628078	-0.947880	
3	-0.147014	0.223147	0.862006	0.011527	-0.985907	
4	-0.768347	-0.243292	-0.442992	0.573002	-0.880943	
5	-0.458896	-0.946943	0.229564	-0.806842	-0.037199	
;
