param n := 10;

param m := 2;

param K := 20;

param a :=
1 	 0.046043
2 	 0.791776
3 	 0.439389
4 	 0.704620
5 	 0.609383
6 	 0.914160
7 	 0.679539
8 	 0.204578
9 	 0.989694
10 	 0.808360
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	-0.897700	0.637914	0.695549	-0.270673	-0.153031	0.376504	0.325485	-0.935608	-0.205034	-0.611816	
2	0.980492	0.891785	-0.619275	0.345499	-0.063104	-0.870378	0.884253	-0.796949	0.489149	0.997442	
3	-0.831252	-0.200884	-0.599452	0.106153	-0.451127	0.600472	-0.682443	0.126588	0.713450	0.085207	
4	-0.168051	-0.532756	0.547327	-0.187170	-0.379738	-0.921650	-0.448271	-0.144393	0.350012	-0.981267	
5	0.776099	0.446440	0.131068	-0.204082	0.346296	-0.945975	0.982186	0.581737	0.558972	-0.162402	
6	0.524226	0.378197	-0.462194	0.225760	-0.939892	0.051731	0.667478	-0.452021	0.623846	-0.517896	
7	0.346094	0.086731	-0.041290	-0.877301	0.310368	0.469598	0.500313	-0.455101	0.193851	-0.893724	
8	0.067382	0.074213	0.349318	0.529000	0.042907	0.011150	-0.915854	-0.188357	-0.122010	0.432267	
9	-0.306047	0.619381	0.368461	-0.532705	-0.042584	-0.412664	-0.945966	0.346462	-0.662499	-0.367017	
10	0.799888	0.599169	0.642783	-0.668123	0.440979	-0.627638	-0.025580	0.962996	0.562785	0.642138	

[2, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	0.528841	-0.730988	-0.084056	0.608683	0.549345	-0.502544	-0.403445	-0.532670	0.262913	-0.533975	
2	-0.868657	-0.984636	0.145516	0.262363	-0.635119	0.883905	-0.837165	-0.859692	0.540370	0.243852	
3	0.425446	0.964381	-0.601467	0.083492	0.257794	0.818157	-0.663332	-0.480601	-0.114994	-0.490127	
4	-0.610062	-0.904652	-0.627663	-0.065730	0.388049	-0.498047	0.228874	-0.651574	0.238891	0.840839	
5	0.553115	-0.789244	-0.794625	0.920274	-0.455384	-0.797895	-0.015207	-0.944875	0.147497	-0.394887	
6	-0.499140	-0.085069	-0.862399	-0.420209	0.856156	-0.275286	-0.176188	-0.651062	0.805484	0.697086	
7	-0.192509	-0.891199	-0.662030	-0.267132	-0.309499	0.847255	0.031408	0.560912	0.504782	-0.540583	
8	0.766591	-0.421828	-0.878367	0.150683	0.276161	0.690539	0.774728	0.840528	-0.470091	0.144195	
9	0.313956	0.355948	0.103357	0.025161	0.851593	-0.483760	0.910198	0.443175	-0.541269	-0.622196	
10	-0.836998	-0.902742	0.615811	0.348475	0.961262	-0.448762	-0.488646	-0.403162	0.387205	-0.159984	
;
