param n := 8;

param m := 2;

param K := 50;

param a :=
1 	 0.809922
2 	 0.399612
3 	 0.393830
4 	 0.128594
5 	 0.364591
6 	 0.204181
7 	 0.316072
8 	 0.562316
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	:=
1	0.723824	-0.020113	-0.855474	-0.833151	-0.841714	0.019245	0.228229	-0.747585	
2	-0.803597	-0.955249	-0.499457	-0.219553	-0.288638	0.210767	0.254867	0.934230	
3	0.660114	0.614596	-0.176862	-0.134921	-0.280245	-0.975663	-0.496738	-0.888714	
4	0.841333	-0.951277	-0.159480	0.048192	0.421816	-0.423196	-0.049917	0.363894	
5	-0.552744	-0.678892	-0.755656	0.520627	0.690888	-0.896287	-0.713009	-0.250101	
6	-0.598305	-0.507737	-0.980992	0.576277	0.446446	-0.228257	-0.859964	-0.653025	
7	0.536870	0.994236	0.630911	-0.061239	-0.778318	0.518173	0.585931	-0.454277	
8	-0.958944	-0.158502	-0.516090	0.769534	0.198705	-0.447996	-0.641052	0.463392	

[2, *, *]:  1	2	3	4	5	6	7	8	:=
1	0.710949	0.533479	0.217559	0.671575	-0.794084	-0.046537	0.419242	-0.243010	
2	-0.462339	-0.042517	0.897339	-0.377402	-0.768745	0.261269	-0.062382	0.009360	
3	-0.305711	0.110999	-0.561756	-0.125779	-0.010178	0.429798	-0.817378	-0.054652	
4	-0.180896	-0.574972	0.088315	-0.830240	0.244050	-0.781107	0.779665	-0.428263	
5	0.654892	0.318672	0.604481	0.374357	-0.933476	-0.780691	0.669038	0.744973	
6	0.499843	-0.855846	0.205912	0.694615	-0.874833	0.824125	-0.136654	-0.905680	
7	-0.581158	-0.276534	0.477657	-0.032623	0.973098	-0.351817	-0.088204	-0.271379	
8	0.085709	-0.199194	-0.767093	-0.797297	-0.417793	0.447722	0.091804	0.548071	
;
