param n := 5;

param m := 2;

param K := 100;

param a :=
1 	 0.459957
2 	 0.763873
3 	 0.253889
4 	 0.591387
5 	 0.428795
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	-0.235799	0.483410	0.006361	0.965180	0.632885	
2	-0.746573	0.230031	-0.538183	0.827479	-0.032546	
3	-0.511467	0.344822	-0.650207	-0.305261	0.179903	
4	-0.841317	-0.983234	-0.630034	0.560449	0.574527	
5	-0.394283	0.356754	0.688520	0.092909	-0.799531	

[2, *, *]:  1	2	3	4	5	:=
1	0.074014	-0.214054	-0.191997	0.851550	0.401066	
2	-0.268033	0.581274	-0.727774	0.379279	0.861120	
3	0.208614	0.290157	-0.098713	0.197642	0.725233	
4	0.917605	-0.212232	-0.331161	0.493315	-0.665116	
5	-0.214354	0.377910	-0.564062	0.083942	-0.473722	
;
