param n := 2;

param m := 10;

param K := 500;

param a :=
1 	 0.207626
2 	 0.917334
;
 param A :=
[1, *, *]:  1	2	:=
1	0.422629	-0.390964	
2	0.107769	0.669708	

[2, *, *]:  1	2	:=
1	-0.129388	0.412104	
2	0.846912	-0.043937	

[3, *, *]:  1	2	:=
1	-0.747580	-0.680333	
2	0.952087	-0.594796	

[4, *, *]:  1	2	:=
1	-0.137636	-0.706497	
2	-0.191596	0.458638	

[5, *, *]:  1	2	:=
1	-0.622510	0.508612	
2	0.287791	-0.578535	

[6, *, *]:  1	2	:=
1	0.201908	0.276437	
2	0.497857	0.194255	

[7, *, *]:  1	2	:=
1	-0.409035	0.890617	
2	0.463213	-0.148877	

[8, *, *]:  1	2	:=
1	0.564364	0.670543	
2	-0.887718	-0.615500	

[9, *, *]:  1	2	:=
1	-0.209806	-0.839793	
2	-0.399838	0.809262	

[10, *, *]:  1	2	:=
1	-0.259692	-0.011767	
2	0.061395	-0.735678	
;
