param n := 2;

param m := 10;

param K := 500;

param a :=
1 	 0.401866
2 	 0.697308
;
 param A :=
[1, *, *]:  1	2	:=
1	-0.993774	0.792833	
2	0.549793	-0.521369	

[2, *, *]:  1	2	:=
1	-0.758466	-0.395807	
2	-0.559432	0.766057	

[3, *, *]:  1	2	:=
1	0.086333	-0.723291	
2	-0.426577	-0.419711	

[4, *, *]:  1	2	:=
1	0.227742	-0.085280	
2	-0.351723	-0.111766	

[5, *, *]:  1	2	:=
1	0.656271	-0.308602	
2	-0.147304	0.349943	

[6, *, *]:  1	2	:=
1	-0.557036	-0.370469	
2	-0.065508	0.253711	

[7, *, *]:  1	2	:=
1	0.754721	0.568915	
2	-0.104622	-0.086069	

[8, *, *]:  1	2	:=
1	0.312459	-0.134037	
2	-0.736318	0.818624	

[9, *, *]:  1	2	:=
1	0.210958	0.009401	
2	0.533549	-0.003889	

[10, *, *]:  1	2	:=
1	0.685800	0.146545	
2	-0.864386	0.885525	
;
