param n := 2;

param m := 10;

param K := 500;

param a :=
1 	 0.809989
2 	 0.012604
;
 param A :=
[1, *, *]:  1	2	:=
1	0.344940	-0.101506	
2	0.373616	0.829577	

[2, *, *]:  1	2	:=
1	0.288722	-0.031143	
2	-0.989520	0.718636	

[3, *, *]:  1	2	:=
1	0.660799	0.347397	
2	0.298308	0.156999	

[4, *, *]:  1	2	:=
1	-0.451760	0.343460	
2	0.121060	-0.295141	

[5, *, *]:  1	2	:=
1	0.711657	0.494642	
2	-0.609925	-0.420795	

[6, *, *]:  1	2	:=
1	0.547599	0.615397	
2	-0.144525	-0.292930	

[7, *, *]:  1	2	:=
1	-0.572614	-0.382716	
2	0.534569	0.466490	

[8, *, *]:  1	2	:=
1	0.488946	-0.571776	
2	-0.557207	-0.602104	

[9, *, *]:  1	2	:=
1	-0.714963	-0.946744	
2	-0.245835	-0.778159	

[10, *, *]:  1	2	:=
1	0.349128	-0.838941	
2	0.599553	-0.536595	
;
