param n := 2;

param m := 10;

param K := 500;

param a :=
1 	 0.517860
2 	 0.194466
;
 param A :=
[1, *, *]:  1	2	:=
1	0.695879	0.401452	
2	-0.496722	0.080522	

[2, *, *]:  1	2	:=
1	0.897673	0.675956	
2	0.248673	-0.984134	

[3, *, *]:  1	2	:=
1	0.978680	-0.355741	
2	-0.844571	0.892305	

[4, *, *]:  1	2	:=
1	-0.982122	0.722423	
2	0.645460	-0.120338	

[5, *, *]:  1	2	:=
1	-0.488510	-0.044276	
2	0.605379	-0.731323	

[6, *, *]:  1	2	:=
1	0.855698	-0.016910	
2	0.791940	0.713405	

[7, *, *]:  1	2	:=
1	-0.162844	-0.204019	
2	0.366930	0.011484	

[8, *, *]:  1	2	:=
1	-0.620897	-0.411569	
2	0.929978	-0.793081	

[9, *, *]:  1	2	:=
1	-0.711369	0.431891	
2	-0.971815	0.128997	

[10, *, *]:  1	2	:=
1	0.589157	0.583642	
2	0.014160	0.391528	
;
