param n := 5;

param m := 5;

param K := 100;

param a :=
1 	 0.497979
2 	 0.660015
3 	 0.496236
4 	 0.620468
5 	 0.582440
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	-0.143335	0.197328	-0.619433	-0.629913	-0.608332	
2	-0.990047	0.222999	-0.988238	-0.874760	-0.092095	
3	-0.610967	0.000187	0.469884	-0.243783	0.242298	
4	-0.359587	-0.358302	-0.112992	0.391993	0.500248	
5	-0.706044	0.306516	0.395683	-0.794363	-0.780530	

[2, *, *]:  1	2	3	4	5	:=
1	0.249247	-0.655675	0.073150	-0.042353	-0.621723	
2	-0.225279	-0.962638	0.549891	0.498885	-0.212833	
3	0.340181	-0.026100	-0.214080	0.145377	-0.940076	
4	-0.592879	-0.631644	0.978904	-0.275069	-0.074942	
5	0.055838	0.276687	0.030429	-0.021510	-0.451052	

[3, *, *]:  1	2	3	4	5	:=
1	0.053432	0.465540	-0.514243	0.433176	-0.117297	
2	-0.941456	-0.119324	0.881657	0.411161	0.055931	
3	0.110174	0.326314	-0.565560	-0.119119	-0.867929	
4	-0.414004	-0.522180	-0.004871	0.508350	-0.218454	
5	0.154981	0.997198	0.642354	0.839907	-0.065523	

[4, *, *]:  1	2	3	4	5	:=
1	0.790275	-0.940434	0.740516	-0.266536	0.485843	
2	-0.778885	-0.706505	0.093937	0.149879	-0.318160	
3	0.462275	-0.432034	0.086328	0.618433	-0.904778	
4	0.090942	-0.990256	0.231452	-0.596807	-0.687286	
5	0.213071	0.338316	-0.395637	-0.344952	-0.612270	

[5, *, *]:  1	2	3	4	5	:=
1	-0.009775	0.506760	-0.570569	0.846201	-0.392483	
2	0.270250	-0.435144	-0.362028	0.492320	0.043319	
3	0.760440	-0.262846	-0.756160	-0.084589	0.424624	
4	0.805073	-0.414547	0.926036	0.509244	-0.389373	
5	-0.385678	-0.172619	0.007966	0.256046	-0.974954	
;
