param n := 2;

param m := 10;

param K := 500;

param a :=
1 	 0.816835
2 	 0.594373
;
 param A :=
[1, *, *]:  1	2	:=
1	0.951978	0.191216	
2	0.803125	-0.935147	

[2, *, *]:  1	2	:=
1	-0.812846	-0.096534	
2	-0.869257	-0.249130	

[3, *, *]:  1	2	:=
1	0.950700	0.945575	
2	-0.664033	0.534950	

[4, *, *]:  1	2	:=
1	0.648476	0.337466	
2	0.265232	-0.046235	

[5, *, *]:  1	2	:=
1	-0.973727	-0.015856	
2	-0.293988	0.460182	

[6, *, *]:  1	2	:=
1	-0.062743	-0.724675	
2	-0.085190	-0.978223	

[7, *, *]:  1	2	:=
1	0.516557	0.968767	
2	-0.360094	-0.559532	

[8, *, *]:  1	2	:=
1	-0.322584	0.509783	
2	0.047792	-0.072284	

[9, *, *]:  1	2	:=
1	-0.750355	0.009038	
2	-0.374997	0.347698	

[10, *, *]:  1	2	:=
1	0.540300	-0.954170	
2	-0.739328	0.038165	
;
