param n := 8;

param m := 2;

param K := 50;

param a :=
1 	 0.432381
2 	 0.126546
3 	 0.968569
4 	 0.852564
5 	 0.561259
6 	 0.670612
7 	 0.997724
8 	 0.161309
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	:=
1	0.069080	0.180299	-0.085223	0.578105	0.657391	0.870267	0.178012	0.981534	
2	-0.218043	0.458766	-0.132895	-0.281031	0.894839	-0.078635	-0.683010	0.733773	
3	0.082295	0.161805	0.558568	0.325098	0.264916	0.000798	0.246898	-0.076278	
4	-0.793244	-0.113794	-0.158283	-0.565819	-0.730522	0.837387	-0.361711	-0.068765	
5	-0.118515	-0.006423	0.346737	-0.557988	-0.160013	0.859647	-0.738529	0.529457	
6	-0.077072	-0.139822	-0.667923	-0.515086	0.872371	0.808974	-0.569994	-0.803184	
7	0.191783	-0.579852	0.648118	-0.470823	-0.358911	0.027269	-0.372679	0.988075	
8	0.324750	-0.546398	0.370814	-0.183176	0.238562	0.279623	0.902904	0.384430	

[2, *, *]:  1	2	3	4	5	6	7	8	:=
1	-0.401429	0.020545	-0.539537	-0.608935	0.575482	0.541522	-0.937801	-0.448673	
2	0.817696	-0.834119	0.880232	0.489498	0.624560	0.869552	0.039866	0.210448	
3	0.105158	-0.113755	-0.067273	0.898028	0.509164	0.243031	0.881153	0.348362	
4	-0.829620	-0.527599	-0.943684	-0.741244	0.100979	0.068495	0.594490	-0.992773	
5	-0.783509	0.119441	-0.841127	0.759560	0.263210	0.766541	0.070189	0.711402	
6	-0.936670	-0.122064	0.111144	0.423840	-0.126674	-0.910394	0.353082	-0.710176	
7	-0.567611	0.675081	-0.578457	0.113687	-0.384306	-0.394649	0.570470	0.024704	
8	-0.897172	-0.326910	-0.703529	-0.865963	-0.584577	-0.235058	-0.477813	0.124361	
;
