param n := 5;

param m := 10;

param K := 100;

param a :=
1 	 0.088048
2 	 0.683637
3 	 0.398012
4 	 0.478954
5 	 0.289803
;
 param A :=
[1, *, *]:  1	2	3	4	5	:=
1	0.576589	0.203199	0.000025	0.225777	-0.587644	
2	-0.906975	0.460977	0.978281	-0.633283	-0.295567	
3	-0.437749	-0.952944	-0.972939	0.425484	-0.538843	
4	0.181192	-0.490153	-0.118242	-0.680703	0.615369	
5	0.580267	-0.915816	-0.990427	0.657151	-0.019460	

[2, *, *]:  1	2	3	4	5	:=
1	0.747667	0.346755	0.655630	-0.980866	-0.414577	
2	-0.739828	-0.633998	0.118419	-0.496097	-0.595265	
3	-0.002084	0.519546	-0.014558	0.011353	0.600564	
4	0.553227	-0.850730	0.873055	0.080833	-0.368154	
5	0.962420	0.525545	-0.999806	-0.257415	-0.015064	

[3, *, *]:  1	2	3	4	5	:=
1	0.622582	-0.029575	-0.577065	0.560519	0.145649	
2	0.224718	0.981169	-0.847905	-0.781870	-0.826383	
3	-0.182783	-0.431610	-0.270185	0.701007	0.810656	
4	-0.646192	-0.668721	-0.430532	-0.780803	0.749133	
5	-0.204696	-0.558849	0.775178	0.440415	0.687703	

[4, *, *]:  1	2	3	4	5	:=
1	-0.260865	-0.253444	-0.476498	-0.558664	-0.514072	
2	-0.554097	0.624374	-0.999203	0.372279	0.741674	
3	0.994223	0.056769	-0.537362	0.373874	0.469482	
4	0.634677	-0.505738	0.986741	0.281486	-0.664368	
5	-0.915744	0.585776	0.312402	-0.858903	-0.402821	

[5, *, *]:  1	2	3	4	5	:=
1	0.125444	0.824707	-0.924746	0.002050	0.410738	
2	0.652892	-0.478973	0.166068	0.404705	-0.106604	
3	-0.598967	-0.783391	0.345114	-0.538718	0.011881	
4	-0.796669	-0.888114	-0.079033	0.489225	-0.916930	
5	-0.236262	-0.296659	0.482234	0.003274	-0.021381	

[6, *, *]:  1	2	3	4	5	:=
1	-0.715425	-0.679017	0.681816	-0.744094	-0.635029	
2	-0.715008	0.482821	-0.864972	0.524478	0.926471	
3	-0.133299	0.926183	-0.127376	0.857216	0.153269	
4	0.152430	0.467285	0.857726	-0.348463	0.720176	
5	-0.313903	-0.845872	-0.473640	-0.535084	-0.383310	

[7, *, *]:  1	2	3	4	5	:=
1	-0.887127	-0.411424	0.238980	0.616654	0.271604	
2	-0.092392	-0.385092	0.719526	-0.268962	0.970689	
3	-0.585780	-0.951653	-0.014719	-0.338542	-0.926520	
4	0.037967	-0.159196	-0.834583	0.875868	-0.370738	
5	0.075975	-0.352621	0.866961	-0.250211	-0.537529	

[8, *, *]:  1	2	3	4	5	:=
1	0.844731	0.324348	-0.723970	0.054835	-0.260520	
2	0.102273	0.911458	-0.558223	-0.887301	0.343252	
3	-0.892573	0.749203	-0.588980	-0.273675	-0.469781	
4	0.510496	0.506503	0.135929	0.935455	-0.845045	
5	0.368168	-0.554668	0.326088	0.391023	0.056134	

[9, *, *]:  1	2	3	4	5	:=
1	-0.420462	-0.794827	-0.233871	0.393308	0.394693	
2	-0.036696	-0.040684	0.962034	0.427376	0.426520	
3	0.803989	-0.191316	-0.770379	0.569510	0.643977	
4	0.303481	0.293714	-0.600184	-0.237911	0.257849	
5	0.446638	-0.424530	-0.521908	0.704807	-0.155545	

[10, *, *]:  1	2	3	4	5	:=
1	-0.938402	0.109764	-0.567724	-0.346129	0.566263	
2	0.190911	-0.656687	-0.412311	0.804689	-0.150501	
3	0.127527	0.299719	0.769474	0.543605	-0.351490	
4	0.201616	-0.856653	0.767184	0.316166	-0.212244	
5	-0.354293	0.750154	0.672534	0.799606	-0.877176	
;
