param n := 10;

param m := 2;

param K := 20;

param a :=
1 	 0.711459
2 	 0.432955
3 	 0.479921
4 	 0.086929
5 	 0.610037
6 	 0.280320
7 	 0.918916
8 	 0.238218
9 	 0.750654
10 	 0.705145
;
 param A :=
[1, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	-0.754436	-0.316451	-0.092647	-0.846327	-0.643626	-0.311175	-0.675690	-0.164183	-0.747525	-0.650017	
2	-0.582545	0.688560	0.791234	0.861176	-0.068672	-0.407513	0.331530	0.110873	-0.035578	0.019111	
3	-0.605658	0.537704	-0.591914	0.084927	-0.808790	0.855888	-0.451278	-0.620683	0.988839	-0.138247	
4	0.568661	0.064995	-0.772723	-0.052278	0.817867	-0.511084	0.450509	-0.444651	0.671297	0.917753	
5	0.102302	-0.820904	0.236338	0.088952	0.686030	-0.189629	-0.885531	-0.027817	0.759866	0.969221	
6	0.015970	0.850216	0.350975	0.054678	-0.590679	-0.632398	0.324238	-0.906939	0.026525	-0.691338	
7	0.485152	0.115887	0.977702	0.322957	-0.555984	-0.827966	-0.887806	0.697867	-0.973790	-0.293791	
8	0.754976	-0.952181	-0.356862	0.288897	0.129617	0.826510	0.315042	-0.122771	0.578486	0.153713	
9	-0.859909	0.292126	0.814451	-0.654134	-0.917448	-0.445379	-0.300578	-0.619402	0.828892	-0.155547	
10	-0.247355	-0.452582	0.180942	0.015075	0.958319	0.556607	0.471629	-0.700808	-0.873676	0.015799	

[2, *, *]:  1	2	3	4	5	6	7	8	9	10	:=
1	0.754041	-0.750601	0.054534	0.584379	0.844837	0.565981	-0.343910	0.388121	-0.294583	-0.282781	
2	-0.879072	0.711416	0.245290	-0.764212	-0.748059	0.675801	-0.864441	0.884635	-0.533950	0.855864	
3	0.830709	0.867768	-0.369165	-0.593938	0.123215	-0.720497	-0.226952	-0.773374	0.968759	0.117175	
4	-0.374883	0.297309	0.761071	-0.952100	0.157443	-0.816536	-0.439032	-0.245896	-0.035316	-0.659411	
5	0.458274	-0.630052	0.720580	-0.883004	0.562973	-0.114296	-0.693631	0.733345	-0.439343	-0.204627	
6	-0.449779	0.444651	-0.878871	-0.761644	-0.801245	0.616207	-0.373452	0.535858	-0.158453	0.261423	
7	0.459725	-0.551907	0.099282	-0.097271	-0.821882	-0.719374	-0.001483	0.651883	-0.721988	0.527005	
8	0.568710	0.505491	-0.238869	0.791372	0.889422	-0.640509	0.341822	-0.926192	0.562426	0.970960	
9	0.134411	0.997254	0.113687	-0.792462	-0.149040	-0.678805	-0.416847	0.608114	0.642109	0.955372	
10	-0.778063	0.842616	-0.635655	0.994773	0.638317	-0.538759	-0.026339	-0.809473	-0.988060	-0.111726	
;
